URL link,Title,Date
https://news.google.com/rss/articles/CBMiamh0dHBzOi8vYnJhbmRlcXVpdHkuZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9uZXdzL2RpZ2l0YWwvd2lsbC1haS1lbGltaW5hdGUtb3ItaW5jcmVhc2Utam9icy8xMDgzMTUzODLSAW5odHRwczovL2JyYW5kZXF1aXR5LmVjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vYW1wL25ld3MvZGlnaXRhbC93aWxsLWFpLWVsaW1pbmF0ZS1vci1pbmNyZWFzZS1qb2JzLzEwODMxNTM4Mg?oc=5,Will AI eliminate or increase jobs? - ETBrandEquity,2024-03-08
https://news.google.com/rss/articles/CBMiqwFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL3RlY2hub2xvZ3kvbmV3cy9zdG9yeS9leGNsdXNpdmUtYWktd2lsbC1sZWFkLXRvLWl0LWNvbXBhbmllcy1uZWVkaW5nLTcwLXBlci1jZW50LWZld2VyLXBlb3BsZS1zYXlzLWZvcm1lci1oY2wtY2VvLXZpbmVldC1uYXlhci0yNTEyMTk5LTIwMjQtMDMtMDjSAa8BaHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvdGVjaG5vbG9neS9uZXdzL3N0b3J5L2V4Y2x1c2l2ZS1haS13aWxsLWxlYWQtdG8taXQtY29tcGFuaWVzLW5lZWRpbmctNzAtcGVyLWNlbnQtZmV3ZXItcGVvcGxlLXNheXMtZm9ybWVyLWhjbC1jZW8tdmluZWV0LW5heWFyLTI1MTIxOTktMjAyNC0wMy0wOA?oc=5,"Exclusive: AI will lead to IT companies needing 70 per cent fewer people, says former HCL CEO Vineet Nayar - India Today",2024-03-08
https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmRlbG9pdHRlLmNvbS9pZS9lbi9zZXJ2aWNlcy9jb25zdWx0aW5nL3Jlc2VhcmNoL2dlbmVyYXRpdmUtYWktZnV0dXJlLW9mLXdvcmsuaHRtbNIBAA?oc=5,Generative AI and the Future of Work - Deloitte,2024-03-08
https://news.google.com/rss/articles/CBMifGh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS90ZWNobm9sb2d5L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL2JyaWRnaW5nLXRoZS1nYXAtd29tZW4tYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtOTIwMjk4NC_SAYEBaHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL3RlY2hub2xvZ3kvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UvYnJpZGdpbmctdGhlLWdhcC13b21lbi1hcnRpZmljaWFsLWludGVsbGlnZW5jZS05MjAyOTg0L2xpdGUv?oc=5,Bridging the gap: Women in AI and the challenges to inclusion - The Indian Express,2024-03-08
https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3Lndzai5jb20vdGVjaC9haS9vZmZpY2Utd29ya2Vycy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1jaGFuZ2VzLTg2ZDhkNGFi0gEA?oc=5,"Your Office Job May Be Safe From AI Takeover, For Now - The Wall Street Journal",2024-03-10
https://news.google.com/rss/articles/CBMicmh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9qb2JzL2hyLXBvbGljaWVzLXRyZW5kcy9nZW4tYWktdGFrZXMtc2tpbGxpbmctd29ybGQtYnktc3Rvcm0vYXJ0aWNsZXNob3cvMTA4MzU2MjgwLmNtc9IBdmh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9qb2JzL2hyLXBvbGljaWVzLXRyZW5kcy9nZW4tYWktdGFrZXMtc2tpbGxpbmctd29ybGQtYnktc3Rvcm0vYW1wX2FydGljbGVzaG93LzEwODM1NjI4MC5jbXM?oc=5,Demand for Gen AI courses surge as working professionals rush to keep themselves relevant - IndiaTimes,2024-03-10
https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvam9lbWNrZW5kcmljay8yMDI0LzAzLzExL2Z1dHVyaXN0cy1wb3NpdGl2ZS1hYm91dC1haXMtaW1wYWN0LW9uLWpvYnMtdXJnZS13aWRlLXBlcnNwZWN0aXZlL9IBAA?oc=5,"Futurists Positive About AI's Impact On Jobs, Urge Wide Perspective - Forbes",2024-03-11
https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3Lmdsb2JhbHRpbWVzLmNuL3BhZ2UvMjAyNDAzLzEzMDg1NTkuc2h0bWzSAQA?oc=5,"China’s job market sees high demand for AI, big data talent: minister - Global Times",2024-03-10
https://news.google.com/rss/articles/CBMihgFodHRwczovL25ld3MyNG9ubGluZS5jb20vYnVzaW5lc3MvaXMtYWktYWxsLXNldC10by13aXBlLW91dC1qb2JzLWluLWluZGlhcy1icG8tc2VjdG9yLWluaXRpYWxseS1oZXJlcy13aGF0LWV4cGVydHMtaGF2ZS10by1zYXkvMjM1MjQ0L9IBkwFodHRwczovL20ubmV3czI0b25saW5lLmNvbS9hcnRpY2xlL2J1c2luZXNzL2lzLWFpLWFsbC1zZXQtdG8td2lwZS1vdXQtam9icy1pbi1pbmRpYXMtYnBvLXNlY3Rvci1pbml0aWFsbHktaGVyZXMtd2hhdC1leHBlcnRzLWhhdmUtdG8tc2F5LzIzNTI0NC9hbXA?oc=5,Is AI All Set To Wipe Out Jobs In Indias BPO Sector Initially? Here’s What Experts Have To Say - News24,2024-03-08
https://news.google.com/rss/articles/CBMiiQFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2J0LXR2L3ZpZGVvL2V4Y2x1c2l2ZS1haXJ0ZWxzLXN1bmlsLWJoYXJ0aS1taXR0YWwtZGlzY3Vzc2VzLXRoZS1pbXBhY3Qtb2YtYWktb24taW5kaWEtam9icy00MjA3OTAtMjAyNC0wMy0wOdIBjQFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2FtcC9idC10di92aWRlby9leGNsdXNpdmUtYWlydGVscy1zdW5pbC1iaGFydGktbWl0dGFsLWRpc2N1c3Nlcy10aGUtaW1wYWN0LW9mLWFpLW9uLWluZGlhLWpvYnMtNDIwNzkwLTIwMjQtMDMtMDk?oc=5,Exclusive: Airtel’s Sunil Bharti Mittal Discusses The Impact Of AI On India & Jobs - Business Today,2024-03-09
