URL link,Title,Date,title,description,keywords,og:title,og:description,og:type,og:url,og:site_name,og:locale,twitter:card,twitter:site,twitter:title,twitter:description,@context,@type,itemListElement,headline,image,url,datePublished,mainEntityOfPage,publisher,author,thumbnailUrl,articleBody,dateCreated,dateModified,name,isPartOf,articleSection,alternativeHeadline,article:type,article:section,article:summary,@graph,creator,address,heading,about,isAccessibleForFree,hasPart
https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL3RvcC03LWVtZXJnaW5nLWFpLWpvYnMtZm9yLXRlY2gtcHJvZmVzc2lvbmFsc9IBcGh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2FtcC9zdG9yeS9hcnRpZmljaWFsLWludGVsbGlnZW5jZS90b3AtNy1lbWVyZ2luZy1haS1qb2JzLWZvci10ZWNoLXByb2Zlc3Npb25hbHM?oc=5,Top 7 Emerging AI Jobs for Tech Professionals - Analytics Insight,2021-06-25,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,NewsArticle,"[{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://www.analyticsinsight.net'}, {'@type': 'ListItem', 'position': 2, 'name': 'Artificial Intelligence', 'item': 'https://www.analyticsinsight.net/artificial-intelligence'}, {'@type': 'ListItem', 'position': 3, 'name': 'Top 7 Emerging AI Jobs for Tech Professionals', 'item': 'https://www.analyticsinsight.net/artificial-intelligence/top-7-emerging-ai-jobs-for-tech-professionals'}]",Top 7 Emerging AI Jobs for Tech Professionals,"{'@type': 'ImageObject', 'url': 'https://media.assettype.com/analyticsinsight/import/wp-content/uploads/2021/06/AI-Jobs.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true', 'width': '1200', 'height': '675'}",https://www.analyticsinsight.net/artificial-intelligence/top-7-emerging-ai-jobs-for-tech-professionals,2021-06-25T03:30:24Z,"{'@type': 'WebPage', '@id': 'https://www.analyticsinsight.net/artificial-intelligence/top-7-emerging-ai-jobs-for-tech-professionals'}","{'@type': 'Organization', '@context': 'http://schema.org', 'name': 'Analytics Insight', 'url': 'https://www.analyticsinsight.net', 'logo': {'@context': 'http://schema.org', '@type': 'ImageObject', 'author': 'analyticsinsight', 'contentUrl': 'https://images.assettype.com/analyticsinsight/2024-05/2df9abcd-45d0-437f-9a36-167417fe7202/AI_logo_white (2).png', 'url': 'https://images.assettype.com/analyticsinsight/2024-05/2df9abcd-45d0-437f-9a36-167417fe7202/AI_logo_white (2).png', 'name': 'logo', 'width': '', 'height': ''}, 'sameAs': ['https://www.linkedin.com/company/analytics-insight/', 'https://www.facebook.com/analyticsinsight.net', 'https://twitter.com/analyticsinme', 'https://www.youtube.com/channel/UCgF2J0b46YP0vvVEbgL_GuQ', 'https://www.instagram.com/analyticsinsightmagazine/', 'https://in.pinterest.com/analyticsinsightsubmissions/_created/'], 'id': 'https://www.analyticsinsight.net'}","[{'@type': 'Person', 'givenName': 'Sayantani Sanyal', 'name': 'Sayantani Sanyal', 'url': 'https://www.analyticsinsight.net/author/sayantani-sanyal'}]",https://media.assettype.com/analyticsinsight/import/wp-content/uploads/2021/06/AI-Jobs.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true,"AI jobs are Growing in Demand. Know which one suits you the best-.Artificial intelligence is taking over the tech space. AI-powered systems and applications are dominating every aspect of our lives. Tech leaders are constantly innovating and implementing AI technologies in business operations to drive growth and enhance customer satisfaction. Owing to the rising demand for artificial intelligence technologies, the tech industry is demanding skilled professionals; who can manage the new techs and help the companies process their operations efficiently. AI jobs have taken a turn and, skilled candidates are flocking towards the tech industry..HIRING ALERT! HERE ARE THE HOTTEST AI JOBS ACROSS THE GLOBETOP AI JOBS ON LINKEDIN TO APPLY IN 2021VACANCY POST ALERT: TOP LUCRATIVE AI JOBS AVAILABLE IN MAY 2021.Here are the top 7 AI jobs for individuals interested in pursuing AI careers..1. Intelligence Designer: Intelligence Designers are AI professionals who decide, manage, and estimate the strategic choices of how, when, and where to develop AI technologies based on complex and large IT systems. An intelligence designer needs to see the bigger picture and localize all the intelligence to understand and curate a strategy for the correct procedure to develop AI systems..2. Data Evangelist: The role of data evangelism will become crucial for the adoption and growth of AI solutions. Companies soon will invest heavily in data evangelist roles to focus specifically on working across the organizations to educate users about the available AI solutions, the importance of data-driven decision-making, and the different ways to smoothly change the traditional business workflows to take advantage of the emerging technologies..3. Machine Learning Engineer: The role of a machine learning engineer is currently highly sought after because of the rise in demand for machine learning technologies and programs. This role is compatible with candidates who have a degree in data science. The ML engineer will have to be adept in the various programming languages, as well as in AI programming..4. Research Scientist: In the AI industry, the role of a research scientist is crucial. A research scientist needs to have a deeper understanding of the multiple disciplines of AI, like computational statistics, machine learning, deep learning, applied mathematics, and other related fields. To get hired for this job, one needs to have extensive knowledge about NLP, graphical models, and reinforcement learning..5. AI Interaction Designer: An AI interaction designer is responsible for making sure that anything that the AI agents say is responsible, sensible, and coherent to the problem at hand. In the IT industry, there will be a growing need for professionals who can make AI systems usable for the mass audience..6. Data Curator: A data curator uses self-service data platforms to curate data for different analytical tasks, allocates computational resources for accelerating data analysis, adds semantic data to the data catalog to speed up the analysis of high-value datasets, and blend data sets..7. Business Intelligence Developer: The primary goal of a business intelligence developer is to analyze complex datasets and identify business and market trends to boost business revenues. The BI developer will use cloud-based data platforms to design, model, and maintain complex datasets. The candidate needs to have experience in data mining, data warehouse design, SQL integration services, SQL queries, and other related fields..Disclaimer: Analytics Insight does not provide financial advice or guidance. Also note that the cryptocurrencies mentioned/listed on the website could potentially be scams, i.e. designed to induce you to invest financial resources that may be lost forever and not be recoverable once investments are made. You are responsible for conducting your own research (DYOR) before making any investments. Read more here.",2021-06-25T03:30:24Z,2021-06-25T03:30:24Z,Top 7 Emerging AI Jobs for Tech Professionals,"{'@type': 'WebPage', 'url': 'https://www.analyticsinsight.net/artificial-intelligence/top-7-emerging-ai-jobs-for-tech-professionals', 'primaryImageOfPage': {'@type': 'ImageObject', 'url': 'https://media.assettype.com/analyticsinsight/import/wp-content/uploads/2021/06/AI-Jobs.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true', 'width': '1200', 'height': '675'}}",Artificial Intelligence,,N/A,N/A,N/A,,,,,,,
https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnB3Yy5jb20vZ3gvZW4vaXNzdWVzL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL3B1YmxpY2F0aW9ucy9haS1hdXRvbWF0aW9uLWRhdGEtZXh0cmFjdGlvbi5odG1s0gEA?oc=5,Automating Data Extraction with AI - PwC,2021-06-24,N/A,"Extracting information from documents may not be the splashiest application of automation, but it has massive potential to reduce errors and costs.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,Thing,,,https://www.pwc.com/gx/en/issues/reinventing-the-future/take-on-tomorrow/content/boring-ai-670.jpg,,,,,,,,,,Automating Data Extraction with AI : PwC,,,,N/A,N/A,N/A,,,,,,,
https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmluZGlhbmRlZmVuY2VyZXZpZXcuY29tL25ld3MvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYW5kLXRoZS1mdXR1cmUtb2YtcG93ZXIv0gEA?oc=5,Artificial Intelligence and the Future of Power - Indian Defence Review,2021-06-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,"[{'@type': 'WebPage', '@id': 'https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/', 'url': 'https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/', 'name': 'Artificial Intelligence and the Future of Power - Indian Defence Review', 'isPartOf': {'@id': 'https://www.indiandefencereview.com/#website'}, 'primaryImageOfPage': {'@id': 'https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/#primaryimage'}, 'image': {'@id': 'https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/#primaryimage'}, 'thumbnailUrl': 'https://www.indiandefencereview.com/wp-content/uploads/2021/06/Artifical-Inte-in-avionic.1.jpg', 'datePublished': '2021-06-29T06:00:39+00:00', 'dateModified': '2021-06-29T06:20:27+00:00', 'description': 'India is lagging behind China in Artificial Intelligence (AI) by at least a decade and also, unique data assets are routinely given away to foreign countries because of the ignorance of her leaders. Given the lack of effective strategic planning on AI and big data, plus its dependence on American digital platforms and Chinese hardware, India might slip further toward digital colonisation. Why does India lag at least a decade behind China in AI and related technologies, despite India having been recently proclaimed as the world leader in software? How vulnerable is India to becoming a digital colony of the West and China? How do Indian industries, military and other sectors stack up in addressing the AI-based technological revolution? India’s security involves combating internal insurgencies as well as protecting long borders with hostile neighbours. This requires considerable manpower that consumes bulk of the military budget. Insufficient funds remain for indigenous R&D and technology related modernisation. India is dependent on imported weapons to defend herself. India might find herself facing Pakistani boots on the ground, weaponised by China’s AI-based technology. How seriously vulnerable is India’s national security considering it is lagging in AI?', 'breadcrumb': {'@id': 'https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/#breadcrumb'}, 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/']}]}, {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/#primaryimage', 'url': 'https://www.indiandefencereview.com/wp-content/uploads/2021/06/Artifical-Inte-in-avionic.1.jpg', 'contentUrl': 'https://www.indiandefencereview.com/wp-content/uploads/2021/06/Artifical-Inte-in-avionic.1.jpg', 'width': 700, 'height': 467}, {'@type': 'BreadcrumbList', '@id': 'https://www.indiandefencereview.com/news/artificial-intelligence-and-the-future-of-power/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'News', 'item': 'https://www.indiandefencereview.com/news/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Artificial Intelligence and the Future of Power'}]}, {'@type': 'WebSite', '@id': 'https://www.indiandefencereview.com/#website', 'url': 'https://www.indiandefencereview.com/', 'name': 'Indian Defence Review', 'description': '', 'publisher': {'@id': 'https://www.indiandefencereview.com/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://www.indiandefencereview.com/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'en-US'}, {'@type': 'Organization', '@id': 'https://www.indiandefencereview.com/#organization', 'name': 'Indian Defence Review (IDR), quarterly journal, the brainchild of former captain of the Indian Army, was launched on January 1, 1986 as a logical continuum to Lancer established in 1979, the first Indian publishing house dedicated to put forward the military experience and point of view.', 'url': 'https://www.indiandefencereview.com/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.indiandefencereview.com/#/schema/logo/image/', 'url': 'https://www.indiandefencereview.com/wp-content/uploads/2018/08/favicon.ico', 'contentUrl': 'https://www.indiandefencereview.com/wp-content/uploads/2018/08/favicon.ico', 'width': 1, 'height': 1, 'caption': 'Indian Defence Review (IDR), quarterly journal, the brainchild of former captain of the Indian Army, was launched on January 1, 1986 as a logical continuum to Lancer established in 1979, the first Indian publishing house dedicated to put forward the military experience and point of view.'}, 'image': {'@id': 'https://www.indiandefencereview.com/#/schema/logo/image/'}}]",,,,,,
https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnRlY2hub2xvZ3lyZXZpZXcuY29tLzIwMjEvMDYvMjgvMTAyNjk2MC90aGUtZnV0dXJlLXN0YXJ0cy13aXRoLWluZHVzdHJpYWwtYWkv0gEA?oc=5,The future starts with Industrial AI - MIT Technology Review,2021-06-28,N/A,"Industrial digital transformation is critical to achieving new levels of safety, sustainability, and profitability—and “Industrial AI” is a key piece of that change.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,Organization,"[{'@type': 'ListItem', 'position': 1, 'name': 'Artificial intelligence', 'item': {'@type': 'Thing', '@id': 'https://www.technologyreview.com/topic/artificial-intelligence/'}}, {'@type': 'ListItem', 'position': 2, 'name': 'The future starts with Industrial AI', 'item': {'@type': 'Thing', '@id': 'https://www.technologyreview.com/2021/06/28/1026960/the-future-starts-with-industrial-ai/'}}]",The future starts with Industrial AI,,https://www.technologyreview.com/2021/06/28/1026960/the-future-starts-with-industrial-ai/,2021-06-28T12:00:00-04:00,"{'@type': 'WebPage', '@id': 'https://www.technologyreview.com/2021/06/28/1026960/the-future-starts-with-industrial-ai/'}","{'@type': 'Organization', 'name': 'MIT Technology Review', 'logo': {'@type': 'ImageObject', 'url': 'https://wp.technologyreview.com/wp-content/themes/mittr/client/src/images/logo.png', 'width': 203, 'height': 100}}","{'@type': 'Person', 'name': 'MIT Technology Review Insights'}",,,2021-06-28T12:00:00-04:00,2023-09-15T12:34:46-04:00,MIT Technology Review,,Artificial intelligence,,N/A,N/A,N/A,,"{'@type': 'Person', 'name': 'MIT Technology Review Insights'}","{'@type': 'PostalAddress', 'addressLocality': 'Cambridge, MA, USA', 'postalCode': '02142', 'streetAddress': '1 Main Street'}",,,,
https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5tY2tpbnNleS5jb20vaW5kdXN0cmllcy9wdWJsaWMtc2VjdG9yL291ci1pbnNpZ2h0cy9kZWZpbmluZy10aGUtc2tpbGxzLWNpdGl6ZW5zLXdpbGwtbmVlZC1pbi10aGUtZnV0dXJlLXdvcmxkLW9mLXdvcmvSAQA?oc=5,Future-citizen skills - McKinsey,2021-06-25,N/A,"Which skills will citizens need in the future? We surveyed 18,000 people in 15 countries to learn more.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,Article,,,https://www.mckinsey.com/~/media/mckinsey/industries/public%20and%20social%20sector/our%20insights/defining%20the%20skills%20citizens%20will%20need%20in%20the%20future%20world%20of%20work/standard_gettyimages-961222062.jpg,https://www.mckinsey.com,2021-06-25T00:00:00Z,"{'@type': 'WebPage', '@id': 'https://www.mckinsey.com/industries/public-sector/our-insights/defining-the-skills-citizens-will-need-in-the-future-world-of-work'}","{'@type': 'Organization', 'name': 'McKinsey & Company', 'logo': {'@type': 'ImageObject', 'url': 'https://www.mckinsey.com/~/media/Thumbnails/Mck_Logo'}}","[{'@type': 'Person', 'name': 'Marco Dondi'}, {'@type': 'Person', 'name': 'Julia Klier', 'url': 'https://www.mckinsey.com/our-people/julia-klier'}, {'@type': 'Person', 'name': 'Frédéric Panier'}, {'@type': 'Person', 'name': 'Jörg Schubert', 'url': 'https://www.mckinsey.com/our-people/jorg-schubert'}]",,,2021-06-23T15:22:32Z,2021-06-25T00:00:00Z,,,,,N/A,N/A,N/A,,,,Defining the skills citizens will need in the future world of work,,,
https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vdmlzdWFsc3R1ZGlvbWFnYXppbmUuY29tL2FydGljbGVzLzIwMjEvMDYvMzAvZ2l0aHViLWNvcGlsb3QtY29tbWVudHMuYXNweNIBAA?oc=5,Will AI Replace Developers? GitHub Copilot Revives Existential Threat Angst - Visual Studio Magazine,2021-06-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,
https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vY3NldC5nZW9yZ2V0b3duLmVkdS9wdWJsaWNhdGlvbi9wYXJhdC10cmFja2luZy10aGUtYWN0aXZpdHktb2YtYWktY29tcGFuaWVzL9IBAA?oc=5,PARAT - Tracking the Activity of AI Companies - Center for Security and Emerging Technology,2021-06-29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,"[{'@type': 'WebPage', '@id': 'https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/', 'url': 'https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/', 'name': 'PARAT - Tracking the Activity of AI Companies | Center for Security and Emerging Technology', 'isPartOf': {'@id': 'https://cset.georgetown.edu/#website'}, 'primaryImageOfPage': {'@id': 'https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/#primaryimage'}, 'image': {'@id': 'https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/#primaryimage'}, 'thumbnailUrl': 'https://cset.georgetown.edu/wp-content/uploads/CCBD6F3B-B78F-4C46-A63E-ADBE8400D290.jpeg', 'datePublished': '2021-06-29T12:54:47+00:00', 'dateModified': '2023-10-27T15:54:55+00:00', 'breadcrumb': {'@id': 'https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/#breadcrumb'}, 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/']}]}, {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/#primaryimage', 'url': 'https://cset.georgetown.edu/wp-content/uploads/CCBD6F3B-B78F-4C46-A63E-ADBE8400D290.jpeg', 'contentUrl': 'https://cset.georgetown.edu/wp-content/uploads/CCBD6F3B-B78F-4C46-A63E-ADBE8400D290.jpeg', 'width': 1341, 'height': 785, 'caption': 'Image of PARAT AI Companies Tracker'}, {'@type': 'BreadcrumbList', '@id': 'https://cset.georgetown.edu/publication/parat-tracking-the-activity-of-ai-companies/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://cset.georgetown.edu/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Documents', 'item': 'https://cset.georgetown.edu/publications/'}, {'@type': 'ListItem', 'position': 3, 'name': 'PARAT &#8211; Tracking the Activity of AI Companies'}]}, {'@type': 'WebSite', '@id': 'https://cset.georgetown.edu/#website', 'url': 'https://cset.georgetown.edu/', 'name': 'Center for Security and Emerging Technology', 'description': 'Place to find CSET&#039;s publications, reports, and people', 'publisher': {'@id': 'https://cset.georgetown.edu/#organization'}, 'alternateName': 'CSET', 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://cset.georgetown.edu/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'en-US'}, {'@type': 'Organization', '@id': 'https://cset.georgetown.edu/#organization', 'name': 'CSET', 'url': 'https://cset.georgetown.edu/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://cset.georgetown.edu/#/schema/logo/image/', 'url': 'https://cset.georgetown.edu/wp-content/uploads/CSET_Logo_Icon_only_PMS293.png', 'contentUrl': 'https://cset.georgetown.edu/wp-content/uploads/CSET_Logo_Icon_only_PMS293.png', 'width': 192, 'height': 198, 'caption': 'CSET'}, 'image': {'@id': 'https://cset.georgetown.edu/#/schema/logo/image/'}, 'sameAs': ['https://www.linkedin.com/company/georgetown-cset/', 'https://www.youtube.com/channel/UCC0d3h9rVlfBouk0WoKE1FQ', 'https://www.threads.net/@csetgeorgetown', 'https://bsky.app/profile/cset.bsky.social', 'https://twitter.com/CSETGeorgetown']}]",,,,,,
https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vc2xhdGUuY29tL3RlY2hub2xvZ3kvMjAyMS8wNi9naG9zdC13b3JrLWZha2UtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2Utc2tlbGV0b24tY3Jldy5odG1s0gEA?oc=5,"Ghost work, artificial intelligence, and Janelle Shane's “The Skeleton Crew.” - Slate",2021-06-26,N/A,N/A,"['artificial-intelligence', 'future-tense-fiction', 'labor', 'redux', 'Section:technology', 'AdNode:technology/future_tense']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,NewsArticle,,The Ghost Work Behind Artificial Intelligence,"{'url': 'https://compote.slate.com/images/93b43cda-837d-401b-970c-e5f35c041a5f.jpeg?width=1200&rect=1560x1040&offset=0x0', '@type': 'ImageObject', 'width': 1200, 'height': 800}",https://slate.com/technology/2021/06/ghost-work-fake-artificial-intelligence-skeleton-crew.html,2021-06-26T13:01:03+00:00,,"{'logo': {'url': 'https://dot.cdnslate.com/static/media/sites/slate-com/icon.400x400.09ec623.png', '@type': 'ImageObject', 'width': 400, 'height': 400}, 'name': 'Slate', '@type': 'Organization'}","{'name': 'Melissa Valentine', '@type': 'Person'}",https://compote.slate.com/images/93b43cda-837d-401b-970c-e5f35c041a5f.jpeg?width=780&height=520&rect=1560x1040&offset=0x0,,2021-06-26T13:01:03+00:00,,,,Future Tense,,N/A,N/A,N/A,,,,,An expert on how data and algorithms are changing work responds to Janelle Shane’s “The Skeleton Crew.”,,
https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vcHVyc3VpdC51bmltZWxiLmVkdS5hdS9hcnRpY2xlcy93aGF0LWRvLXBpbG90cy10aGluay1vZi1oYXZpbmctbW9yZS1haS1pbi10aGUtY29ja3BpdNIBYWh0dHBzOi8vcHVyc3VpdC51bmltZWxiLmVkdS5hdS9hcnRpY2xlcy93aGF0LWRvLXBpbG90cy10aGluay1vZi1oYXZpbmctbW9yZS1haS1pbi10aGUtY29ja3BpdC5hbXA?oc=5,What do pilots think of having more AI in the cockpit? - Pursuit,2021-06-25,N/A,Pilots are keen to explore using new technology like digital voice assistants in the cockpit but they also need to be central in the design of any new systems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,NewsArticle,,What do pilots think of having more AI in the cockpit?,"{'@type': 'ImageObject', 'url': 'https://pursuit.unimelb.edu.au/__data/assets/image/0024/82509/What-do-pilots-think-of-having-more-AI-in-the-cockpit_a93dd0a4-9362-4f8a-b0c2-0a1ec5f83ad1.jpg', 'height': 1200, 'width': 1800}",,2021-06-25T17:48:53+10:00,"{'@type': 'WebPage', '@id': 'https://pursuit.unimelb.edu.au/articles/what-do-pilots-think-of-having-more-ai-in-the-cockpit'}","{'@type': 'Organization', 'name': 'The University of Melbourne', 'logo': {'@type': 'ImageObject', 'url': 'https://pursuit.unimelb.edu.au/__data/assets/file/0020/929/UOMLogo.svg', 'width': 80, 'height': 80}}","[{'@type': 'Person', 'name': 'Dr Fabio Mattioli', 'url': 'https://pursuit.unimelb.edu.au/individuals/dr-fabio-mattioli'}, {'@type': 'Person', 'name': 'Dr Johanne Trippas', 'url': 'https://pursuit.unimelb.edu.au/individuals/dr-johanne-trippas'}, {'@type': 'Person', 'name': 'Sarah Gosper', 'url': 'https://pursuit.unimelb.edu.au/individuals/sarah-gosper'}, {'@type': 'Person', 'name': 'Dr Fraser Allison', 'url': 'https://pursuit.unimelb.edu.au/individuals/dr-fraser-allison'}, {'@type': 'Person', 'name': 'Dr Harriette Richards  ', 'url': 'https://pursuit.unimelb.edu.au/individuals/dr-harriette-richards'}, {'@type': 'Person', 'name': 'Cynthia Sear', 'url': 'https://pursuit.unimelb.edu.au/individuals/cynthia-sear'}, {'@type': 'Person', 'name': 'Gabby Bush', 'url': 'https://pursuit.unimelb.edu.au/individuals/gabby-bush'}]",,,,2024-06-14T19:39:09+10:00,,,,,N/A,N/A,N/A,,,,,,,
https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmF1dG9tYXRpb24uY29tL2VuLXVzL2FydGljbGVzL2p1bmUtMjAyMS9wYXRoLXJvYm90aWNzLWhlYWRxdWFydGVycy1wcm9kdWN0aW9uLW9wZXJhdGlvbnPSAQA?oc=5,"Path Robotics Expands Headquarters and Production Operations in the Columbus Region, Creating 140 New Jobs - Automation.com",2021-06-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,
