URL link,Title,Date,title,description,keywords,og:title,og:description,og:type,og:url,og:site_name,og:locale,twitter:card,twitter:site,twitter:title,twitter:description,article:type,article:section,article:summary,@context,@type,datePublished,headline,mainEntityOfPage,image,author,publisher,url,potentialAction,mainEntity,name,sameAs,logo,dateCreated,dateModified,articleBody,articleSection,thumbnailUrl,hasPart,video,address,speakable,specialty,mainContentOFPage,inLanguage,isAccessibleForFree,associatedMedia,itemListElement,@graph,isBasedOn,isPartOf,alternativeHeadline,@id,copyrightYear,sourceOrganization,copyrightHolder,ethicsPolicy,foundingDate
https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vbWl0c2xvYW4ubWl0LmVkdS9pZGVhcy1tYWRlLXRvLW1hdHRlci93aHktZnV0dXJlLWFpLWZ1dHVyZS13b3Jr0gEA?oc=5,Why ‘the future of AI is the future of work’ - MIT Sloan News,2022-01-31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmRpY2UuY29tL2NhcmVlci1hZHZpY2Uvd2lsbC1hLWktcm9ib3RpY3MtbWFrZS1ldmVuLW1vcmUtdGVjaG5vbG9naXN0LWpvYnMtcmVtb3Rl0gEA?oc=5,"Will A.I., Robotics Make Even More Technologist Jobs Remote? - Dice Insights",2022-01-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org/,Article,2022-01-28T12:00:00Z,"Will A.I., Robotics Make Even More Technologist Jobs Remote?","{'@type': 'WebPage', '@id': 'https://www.dice.com/career-advice/will-a-i-robotics-make-even-more-technologist-jobs-remote'}","{'@type': 'ImageObject', 'url': 'https://www.dice.com/binaries/large/content/gallery/dice/insights/2022/01/shutterstock_1292541523.jpg', 'width': 1200, 'height': 739}","{'@type': 'Person', 'name': 'Nick Kolakowski', 'url': 'https://www.dice.com/about/authors/nick-kolakowski'}","{'@type': 'Organization', 'name': 'Dice', 'url': 'https://www.dice.com', 'logo': 'https://www.dice.com/binaries/content/gallery/dice/icons/dice-logo.svg', 'sameAs': ['https://www.linkedin.com/company/dice', 'https://www.facebook.com/dice', 'https://twitter.com/Dicedotcom', 'https://www.instagram.com/dicedotcom', 'https://www.youtube.com/Dice', 'https://www.facebook.com/DiceforEmployers', 'https://twitter.com/Dice4Employers']}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDIyLzAxL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWNoaWxkcmVuLXRlY2hub2xvZ3kv0gEA?oc=5,Our children are growing up with AI: what you need to know - World Economic Forum,2022-01-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vaGJyLm9yZy8yMDIyLzAxL2Nhbi1haS10ZWFjaC11cy1ob3ctdG8tYmVjb21lLW1vcmUtZW1vdGlvbmFsbHktaW50ZWxsaWdlbnTSAQA?oc=5,Can AI Teach Us How to Become More Emotionally Intelligent? - HBR.org Daily,2022-01-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,WebSite,,,,,,,https://hbr.org/,"{'@type': 'SearchAction', 'target': 'https://hbr.org/search?term={search_term_string}', 'query-input': 'required name=search_term_string'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTk5LTAyMi0wMTA0My010gEA?oc=5,"Gender and feminist considerations in artificial intelligence from a developing-world perspective, with India as a case ... - Nature.com",2022-01-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,WebPage,,,,,,,,,"{'headline': 'Gender and feminist considerations in artificial intelligence from a developing-world perspective, with India as a case study', 'description': 'This manuscript discusses the relationship between women, technology manifestation, and likely prospects in the developing world. Using India as a case study, the manuscript outlines how Artificial Intelligence (AI) and robotics affect women’s opportunities in developing countries. Women in developing countries, notably in South Asia, are perceived as doing domestic work and are underrepresented in high-level professions. They are disproportionately underemployed and face prejudice in the workplace. The purpose of this study is to determine if the introduction of AI would exacerbate the already precarious situation of women in the developing world or if it would serve as a liberating force. While studies on the impact of AI on women have been undertaken in developed countries, there has been less research in developing countries. This manuscript attempts to fill that need.', 'datePublished': '2022-01-26T00:00:00Z', 'dateModified': '2022-01-26T00:00:00Z', 'pageStart': '1', 'pageEnd': '9', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'sameAs': 'https://doi.org/10.1057/s41599-022-01043-5', 'keywords': ['Complex networks', 'Development studies', 'Information systems and information technology', 'Science, technology and society', 'Sociology', 'Science', 'Humanities and Social Sciences', 'multidisciplinary'], 'image': ['https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig1_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig2_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig3_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig4_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig5_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig6_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig7_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig8_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig9_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig10_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig11_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig12_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig13_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig14_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig15_HTML.png', 'https://media.springernature.com/lw1200/springer-static/image/art%3A10.1057%2Fs41599-022-01043-5/MediaObjects/41599_2022_1043_Fig16_HTML.png'], 'isPartOf': {'name': 'Humanities and Social Sciences Communications', 'issn': ['2662-9992'], 'volumeNumber': '9', '@type': ['Periodical', 'PublicationVolume']}, 'publisher': {'name': 'Palgrave Macmillan UK', 'logo': {'url': 'https://www.springernature.com/app-sn/public/images/logo-springernature.png', '@type': 'ImageObject'}, '@type': 'Organization'}, 'author': [{'name': 'Shailendra Kumar', 'url': 'http://orcid.org/0000-0002-7493-5496', 'affiliation': [{'name': 'Sikkim Central University', 'address': {'name': 'Department of Management, Sikkim Central University, Sikkim, India', '@type': 'PostalAddress'}, '@type': 'Organization'}], 'email': 'theskumar7@gmail.com', '@type': 'Person'}, {'name': 'Sanghamitra Choudhury', 'url': 'http://orcid.org/0000-0003-1417-1735', 'affiliation': [{'name': 'Bodoland State University', 'address': {'name': 'Department of Political Science, Bodoland State University, Kokrajhar, India', '@type': 'PostalAddress'}, '@type': 'Organization'}, {'name': 'University of Oxford', 'address': {'name': 'Department of Asian Studies, St. Antony’s College, University of Oxford, Oxford, UK', '@type': 'PostalAddress'}, '@type': 'Organization'}, {'name': 'Queen’s University', 'address': {'name': 'Department of History and Anthropology, Queen’s University, Belfast, UK', '@type': 'PostalAddress'}, '@type': 'Organization'}, {'name': 'Hague Academy of International Law', 'address': {'name': 'Hague Academy of International Law, Hague, the Netherlands', '@type': 'PostalAddress'}, '@type': 'Organization'}, {'name': 'Jawaharlal Nehru University', 'address': {'name': 'Centre for the Study of Law and Governance, Jawaharlal Nehru University, New Delhi, India', '@type': 'PostalAddress'}, '@type': 'Organization'}], '@type': 'Person'}], 'isAccessibleForFree': True, '@type': 'ScholarlyArticle'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnRoZW5hdGlvbmFsbmV3cy5jb20vb3Bpbmlvbi9jb21tZW50LzIwMjIvMDEvMzEvd2UtY2FuLWVuc3VyZS1yb2JvdHMtd29udC1zdGVhbC1vdXItam9icy_SAQA?oc=5,How to stop robots from taking everyone's jobs - The National,2022-01-30,N/A,"Even as automation becomes more frequent, society and employers can do three things to retain livelihoods","['Article', 'opinion']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,NewsArticle,2022-01-31T07:00:00Z,How to stop robots from taking everyone's jobs,"{'@type': 'WebPage', '@id': 'https://www.thenationalnews.com/opinion/comment/2022/01/31/we-can-ensure-robots-wont-steal-our-jobs/'}","[{'@type': 'ImageObject', 'url': 'https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/v2/B4SK7LQMJCK4KXGU52YWTUT3H4.jpg?smart=true&auth=a779bed6fb373117a3197182e1afc1cc86b1fe0812f30f72fb3818f4463be8bd&width=800&height=600', 'thumbnailUrl': 'https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/v2/B4SK7LQMJCK4KXGU52YWTUT3H4.jpg?smart=true&auth=a779bed6fb373117a3197182e1afc1cc86b1fe0812f30f72fb3818f4463be8bd&width=400&height=300', 'width': 800}, {'@type': 'ImageObject', 'url': 'https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/v2/D2XRU4ZWKZUUONTLZJHOJ7SDPQ.jpg?smart=true&auth=f61d89f9f0bdc17b08cc4758fd9a674398bde88e4635c94c8acef0e7d93474eb&width=800&height=600', 'width': 800}]","[{'@type': 'Person', 'name': 'Gary Bolles'}]","{'@type': 'Organization', 'name': 'The National', 'url': 'https://www.thenationalnews.com', 'logo': {'@type': 'ImageObject', 'url': 'https://www.thenationalnews.com/pf/resources/images/logo_rectangle.png?d=739'}}",https://www.thenationalnews.com,,,The National,"['https://www.facebook.com/TheNationalNews/', 'https://twitter.com/TheNationalNews', 'https://www.linkedin.com/company/thenationalnews/', 'https://www.instagram.com/TheNationalNews.com', 'https://www.youtube.com/user/TheNationalNewspaper']","{'@type': 'ImageObject', 'url': 'https://www.thenationalnews.com/pf/resources/images/logo_rectangle.png?d=739', 'width': 250, 'height': 69}",2022-01-27T16:06:53.021Z,2022-01-31T07:01:19.566Z,"Accelerated by the global pandemic, there is a growing fear of a robo-apocalypse – a dystopian world with machines enriching the 1 per cent and leaving the rest of us destitute. As humans struggle to learn 21st-century skills, employers are increasingly turning to the mind-bending capabilities of AI software and increasingly humanlike robots to fill in the gaps in the workforce. There is no question that new technologies are automating a range of tasks that people are tired of performing. Many people have found they no longer want to do the boring, repetitive work that makes them feel like robots. And employers are relentlessly employing technology to “free up” people from that leaden kind of work. The truth is, robots and software don’t take away jobs. They simply automate tasks; it is ultimately a human’s decision if a job gets taken away. That is why we need to embrace human-centric work. Your human ability to solve new problems, to continually adapt, to use creativity and to empathise with others – these are all unique skills that technology won’t replace for a very long time.  That doesn’t mean that many jobs won’t be lost. Manual work has been on the decline since the 1950s, when, in the US, for instance, more than 1 million people worked in clothing factories, almost 1.5 million in the railway system, and more than 500,000 in coal mining. Technology replaced many of these roles, improving the quality and efficiency of output, but displacing workers. The pre-pandemic numbers weren’t very encouraging, either. A 2017 study by the McKinsey Global Institute estimated that 73 million jobs would be automated worldwide by 2030. The pandemic created some temporary labour shortages that in some cases means jobs won’t go away as quickly. But in other cases, it has dramatically accelerated automation to fill unmet demand. Robots are now making pizzas, cleaning skyscraper windows, harvesting food and many other formerly human tasks. Robotic process automation software, which uses AI to learn quickly how a repetitive human task is performed and then repeat it automatically, is being used in white-collar settings in jobs once the sole domain of humans. Of course, humans have worried about job-stealing technologies for centuries. At the dawn of the industrial revolution in Britain, a group of workers known as the Luddites demanded higher wages and destroyed textile machinery. The relentless march of technology will inevitably continue to erode work. But it can also create a huge amount of new work, if we make sure three important things happen.   First, we need to shift the attention of startups and investors from simply automating human tasks, to empowering people to learn new skills and solve new problems more effectively. In this way, AI can not just create more jobs, it can create better ones. As we move forward, new roles are being created every day, each of which requires a new skillset. Consider that a few short years ago, a role like social media manager didn’t even exist – and now that job is everywhere. New exponential technologies can breed exponential opportunity. Second, each of us needs to commit to continually learning new skills. As the shelf life of information continues to decay, we need to increasingly focus on “flex” skills, which are often (and unfortunately) called soft skills. In the future, an increasing number of skills will no longer be sector-specific, but will be applicable across all industries, such as problem-solving, adaptability, creativity and empathy – what I refer to as PACE. In fact, a recent Deloitte Australia report found that almost two thirds of occupations will be based on such skills by 2030. We need to be lifelong learners to continually stay ahead of robots and AI. Finally, employers must do their part. They need to develop and buy those technologies that help to empower humans. They need to commit to training and job design that ensure that workers are continually employed. Laying off workers whose skills are no longer required is an “old rule” of work. As the rate of technological change only increases, no specific job title will remain the same for long. That is why organisations should empower their employees not only to constantly learn but to learn how to learn, baking skills development into the day-to-day work of every employee. If we fail to do this, we’ll continue to have the dramatic mismatches that characterise our work markets today – plenty of jobs available, but fewer people trained to do them. But if we commit to co-creating these “next” rules of work together, the workplace of tomorrow will be far more humane, and we’ll ensure that no human is left behind.",Comment - Opinion,https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/v2/D2XRU4ZWKZUUONTLZJHOJ7SDPQ.jpg?smart=true&auth=f61d89f9f0bdc17b08cc4758fd9a674398bde88e4635c94c8acef0e7d93474eb&width=400&height=267,[None],[],,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmZpbmFuY2llcndvcmxkd2lkZS5jb20vc3RyZW5ndGhlbmluZy10aGUtd29ya2ZvcmNlLXRoZS1hZHZhbnRhZ2VzLW9mLWF1Z21lbnRlZC13b3JraW5n0gEA?oc=5,Strengthening the workforce: the advantages of augmented working — Financier Worldwide - Financier Worldwide,2022-01-25,N/A,"<p>Since 2001, Financier Worldwide has been providing valuable information on corporate finance and board-level business issues through its monthly print magazine and exclusive website content.&nbsp;<span style=""line-height:1.6em"">As a leading publisher of news and analysis on this dynamic global market, the organisation is immediately recognisable as a valued source of intelligence to the corporate, investment and advisory community.</span></p>",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,LocalBusiness,,,,https://static1.squarespace.com/static/52d7b15be4b0bd82f382963c/t/52d7b36fe4b05a02fb7f64d0/1719324945075/,,,https://www.financierworldwide.com,,,Financier Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmNpb2wuY29tL2FpLWludGVybnNoaXBzLWluZGlhLWltcG9ydGFudC1zdHVkZW50cy_SAT1odHRwczovL3d3dy5jaW9sLmNvbS9haS1pbnRlcm5zaGlwcy1pbmRpYS1pbXBvcnRhbnQtc3R1ZGVudHMv?oc=5,Why AI internships in India are important for students - CIOL,2022-01-31,N/A,"AI internships in India in the domains of deep learning, machine learning, and scientific research offer perks, pay packages and skill development",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,ItemList,2022-01-31T13:03:59+05:30,Why AI internships in India are important for students,"{'@type': 'WebPage', '@id': 'https://www.ciol.com/ai-internships-india-important-students/'}",['https://img-cdn.thepublive.com/fit-in/1200x675/filters:format(webp)/ciol/media/post_banners/wp-content/uploads/2022/01/pexels-pavel-danilyuk-8438991.jpg'],"[{'@type': 'Person', 'name': 'Priti Yadav', 'url': 'https://www.ciol.com/author/pritiy'}]","{'@type': 'Organization', 'name': 'CIOL', 'SameAs': ['https://www.facebook.com/ciolnews', '', 'https://twitter.com/CiOL_News', '', 'https://www.youtube.com/channel/UCmFbShVqo7IxgGvNpLTv6Kw', 'None'], 'logo': {'@type': 'ImageObject', 'url': 'https://img-cdn.thepublive.com/fit-in/600x60/filters:format(webp)/ciol/media/agency_attachments/c0E28gS06GM3VmrXNw5G.png', 'width': 600, 'height': 60}}","['www.ciol.com', 'https://www.ciol.com/tech', 'https://www.ciol.com/smb', 'https://www.ciol.com/governance', 'https://www.ciol.com/cxo-of-the-week', 'https://www.ciol.com/mobile', 'https://www.ciol.com/iot', 'https://www.ciol.com/startup-circle/', 'https://www.ciol.com/technews-of-the-week/', 'https://www.ciol.com/bcp-playbook-series/', 'https://www.ciol.com/interviews', 'https://www.ciol.com/webinars', 'https://nextgenit.ciol.com/', 'https://www.ciol.com/tech-buzz', 'https://www.ciol.com/events', 'https://www.ciol.com/future-workspace', 'https://www.ciol.com/social', 'https://c-change.in/', 'https://www.ciol.com/resources', 'https://www.ciol.com/digital-transformation']","{'@type': 'SearchAction', 'target': 'https://www.ciol.com/search?title={search_term_string}', 'query-input': 'required name=search_term_string'}",,"['home', 'Tech', 'SMB', 'Governance', 'CXO of the week', 'Mobile', 'IOT', 'Startup Circle', 'Technews of the week', 'PCB Playbook Series', 'Interviews', 'Webinars', 'Nextgenit', 'Tech Buzz', 'Events', 'Future Workspace', 'Social', 'C-Change 2017', 'Resources', 'Digital Transformation']",,,,,,,,,,,"{'@type': 'SpeakableSpecification', 'xpath': ['//title', ""//meta[@name='description']/@content""]}",https://schema.org/NewsMediaOrganization,News,en,True,"{'@type': 'ImageObject', 'url': 'https://img-cdn.thepublive.com/fit-in/1200x675/filters:format(webp)/ciol/media/post_banners/wp-content/uploads/2022/01/pexels-pavel-danilyuk-8438991.jpg', 'width': 1200, 'height': 675}",[],,,,,,,,,,
https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3Lm5ld3MxOC5jb20vbmV3cy9lZHVjYXRpb24tY2FyZWVyL2FpLW1sLWNvdXJzZXMtZm9yLXJldGlyZWQtYXJtZWQtb2ZmaWNlcnMtdG8tdGFrZS11cC1uZXdhZ2UtdGVjaC1yb2xlcy00NjkyMzI2Lmh0bWzSAYMBaHR0cHM6Ly93d3cubmV3czE4LmNvbS9hbXAvbmV3cy9lZHVjYXRpb24tY2FyZWVyL2FpLW1sLWNvdXJzZXMtZm9yLXJldGlyZWQtYXJtZWQtb2ZmaWNlcnMtdG8tdGFrZS11cC1uZXdhZ2UtdGVjaC1yb2xlcy00NjkyMzI2Lmh0bWw?oc=5,"AI, ML Courses for Retired Armed Officers to Take up Newage Tech Roles - News18",2022-01-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lmhrcy5oYXJ2YXJkLmVkdS9jZW50ZXJzL21yY2JnL3Byb2dyYW1zL2dyb3d0aHBvbGljeS9qb3NlcGgtZnVsbGVyLXdvcmstdHdlbnR5LWZpcnN0LWNlbnR1cnnSAQA?oc=5,Joseph Fuller on Work in the Twenty-First Century - Harvard Kennedy School,2022-01-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
