URL link,Title,Date,title,description,keywords,og:title,og:description,og:type,og:url,og:site_name,og:locale,twitter:card,twitter:site,twitter:title,twitter:description,@context,@type,itemListElement,mainEntityOfPage,headline,datePublished,dateModified,articleBody,articleSection,url,author,publisher,image,location,name,logo,email,potentialAction,article:type,article:section,article:summary,dateCreated,address,identifier,creator,genre,sameAs,@graph,isAccessibleForFree,isPartOf,mentions,video,hasPart,diversityPolicy,legalName,leiCode,telephone,brand,wordCount,thumbnailUrl
https://news.google.com/rss/articles/CBMijQFodHRwczovL2hyLmVjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbmV3cy9pbmR1c3RyeS9hdXRvbWF0aW9uLXdpbGwtbm90LWhhdmUtYS1tYXNzaXZlLWltcGFjdC1vbi1ibHVlLWNvbGxhci1qb2JzLWluZHVzdHJ5LWxlYWRlcnMvODE5ODE4OTXSAQA?oc=5,Automation will not have a massive impact on blue-collar jobs: industry leaders - ETHRWorld.com,2021-04-09,N/A,ETHRWorld An initiative of The Economic Times,"['Industry', 'F&B', 'Automation', 'The Adecco Group India', 'Jobs', 'Blue Collar', 'Workforce', 'BetterPlace', 'Artificial Intelligence', 'Gender Diversity', 'Digitisation']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,WebSite,"[{'@type': 'ListItem', 'position': 1, 'item': {'@id': 'https://hr.economictimes.indiatimes.com', 'name': 'Home'}}, {'@type': 'ListItem', 'position': 2, 'item': {'@id': 'https://hr.economictimes.indiatimes.com/news', 'name': 'News'}}, {'@type': 'ListItem', 'position': 3, 'item': {'@id': 'https://hr.economictimes.indiatimes.com/news/industry', 'name': 'Industry'}}, {'@type': 'ListItem', 'position': 4, 'item': {'@id': 'https://hr.economictimes.indiatimes.com/news/industry/automation-will-not-have-a-massive-impact-on-blue-collar-jobs-industry-leaders/81981895', 'name': 'Automation will not have a massive impact on blue-collar jobs: industry leaders'}}]","{'@type': 'WebPage', '@id': 'https://hr.economictimes.indiatimes.com/news/industry/automation-will-not-have-a-massive-impact-on-blue-collar-jobs-industry-leaders/81981895'}",Automation will not have a massive impact on blue-collar jobs: industry leaders,2021-04-09T10:32:42+05:30,2021-04-09T17:38:51+05:30,"Experts opine that though automation brought in by artificial intelligence and machine learning has made tasks easier for employees in this sector as well as their employers, it will not have a mass impact on blue-collar jobs.By Chitrali GhatakA World Economic Forum study on the &lsquo;Future of Jobs&rsquo;, released in 2020, reported that by 2025, employers will divide work between humans and machines equally. Roles that leverage human skills will rise in demand. Machines will be primarily focused on information and data processing, administrative tasks and routine manual jobs for white and blue-collar positions.In view of this, ETHRWorld spoke to industry leaders dealing with the blue-collar workforce, to understand their demand, prevailing gender diversity and the impact of automation on the sector.Experts opine that though automation brought in by artificial intelligence and machine learning has made tasks easier for employees in this sector as well as their employers, it will not have a mass impact on blue-collar jobs.Demand for blue-collar workforceHighlighting the demand for blue-collar workers, Manu Saigal, Director - General Staffing, The Adecco Group India, said, &ldquo;The sectors that are seeing high demand in the current recovery phase are e-commerce, logistics, edutech, pharma &amp; healthcare, and manufacturing. Some of these sectors were also a part of the essential services and hence the high demand, even during the lockdown.&rdquo;She added that these sectors have also been able to manage their human capital by adhering to safety protocols and without letting migration or reverse migration hamper their efforts.On his part, Saurabh Tandon, Co-Founder &amp; COO, Betterplace, said, &ldquo;More than 8 lakh jobs in the blue &amp; grey collar positions are open in more than 1100 companies as per ASEEM demand. Top demand is from logistics contributing to 18.5 per cent, retail contributing to 13.2 per cent, apparel contributing to 10.8 per cent and healthcare contributing to 6.7 per cent, for blue-collar workforce.&rdquo;Diversity in the blue-collar sectorMentioning about the current state of gender diversity in the blue-collar sector, Saigal said, &ldquo;The current rate of women's participation amongst blue-collared workforce is between 25-28 per cent.&rdquo;Saigal further said that although there is increased acceptance and awareness, the manual, physical, and &lsquo;out in the market&rsquo; kind of work is still a deterrent. &ldquo;Mainly, the bigger constraints are gender discrimination during hiring, role conflict, fear of sexual harassment, and the lack of relevant support system, emotional support and competence from employers, and flexibility in working hours,&rdquo; he added. However, &ldquo;We have seen many of our progressive clients wean towards equal opportunities in the recent past. The organisations are also leaning more towards gender diversity since they have observed lower attrition rates bringing in more stability,&rdquo; she said.Tandon added to this, saying, &ldquo;As per our data, there are a total of 956,976 jobs in the blue-collar space where employers are looking for candidates. We are seeing gender diversity where demand for women candidates contributes to 9.4 per cent which comes to 90,262 of the total requirement by employers, especially as retail executives in the apparel sector, F&amp;B (Food and Beverage) and facilities management whereas the other sectors are male dominated.&rdquo;Automation in blue-collar jobsTandon asserted that Artificial Intelligence is creating a newer economy with gig opportunities at a much faster pace. Moreover, with advancements in AI and ML, the need for a specialised workforce keeps going up and to the workforce, AI is closing the loop by driving affordable access to persistent skilling and specialised roles, he said.Effectively, &ldquo;Deep tech is opening up more avenues for the average blue-collar worker. Tech has also enabled employers to be more effective at providing benefits to their workforce in areas of money, health, and safety resulting in greater economic inclusion,&rdquo; he added.Speaking about the impact of automation on blue-collar jobs, Saigal said, &ldquo;We don't really see a future driven by massive job losses due to automation. Instead, we have an optimistic view of the future that creates more blue-collared job opportunities through augmentation.&rdquo;Also, &ldquo;The blind assumption that machines can do blue-collar work undermines the contribution of these employees who make instant decisions that affect operations, performance and execution, and, eventually, the cost,&rdquo; she said. &ldquo;Besides, as we continue to assimilate new technologies like AI into the workplace, there will inevitably be some displacement that cannot be alleviated. But, if we rationally manage it through a combination of coaching, training, and skilling, the changeover can be accomplished without excessive harm and can actually create more jobs,&rdquo; Saigal concluded.",Industry,https://hr.economictimes.indiatimes.com,"[{'@type': 'Thing', 'name': 'ETHRWorld', 'url': 'https://hr.economictimes.indiatimes.com'}]","{'@type': 'NewsMediaOrganization', 'name': 'ETHRWorld', 'logo': {'@type': 'ImageObject', 'url': 'https://img.etb2bimg.com/files/cp/upload-1679564249-et-hr-light-theme.png', 'width': 600, 'height': 60}}","[{'@type': 'ImageObject', 'url': 'https://etimg.etb2bimg.com/thumb/msid-81981895,width-1200,height-900,resizemode-4/.jpg', 'width': 1200, 'height': 900}]","{'@type': 'Place', 'address': 'Times Internet Limited (Times Center), FC - 6, Sector 16 A, Film City, Noida - 201301 Uttar Pradesh, India'}",ETHRWorld,"{'@type': 'ImageObject', 'url': 'https://img.etb2bimg.com/files/cp/upload-1679564249-et-hr-light-theme.png', 'width': 600, 'height': 60}",contactus@ethrworld.com,"{'@type': 'SearchAction', 'target': 'https://hr.economictimes.indiatimes.com/search/{query}', 'query-input': 'required name=query'}",N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmRpY2UuY29tL2NhcmVlci1hZHZpY2UvdG9wLTEwLXRlY2hub2xvZ3ktam9icy10aGF0LXdhbnQtbWFjaGluZS1sZWFybmluZy1za2lsbHPSAQA?oc=5,Top 10 Technology Jobs That Want Machine Learning Skills - Dice Insights,2021-04-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org/,Article,,"{'@type': 'WebPage', '@id': 'https://www.dice.com/career-advice/top-10-technology-jobs-that-want-machine-learning-skills'}",Top 10 Technology Jobs That Want Machine Learning Skills,2021-04-14T11:00:00Z,,,,,"{'@type': 'Person', 'name': 'Nick Kolakowski', 'url': 'https://www.dice.com/about/authors/nick-kolakowski'}","{'@type': 'Organization', 'name': 'Dice', 'url': 'https://www.dice.com', 'logo': 'https://www.dice.com/binaries/content/gallery/dice/icons/dice-logo.svg', 'sameAs': ['https://www.linkedin.com/company/dice', 'https://www.facebook.com/dice', 'https://twitter.com/Dicedotcom', 'https://www.instagram.com/dicedotcom', 'https://www.youtube.com/Dice', 'https://www.facebook.com/DiceforEmployers', 'https://twitter.com/Dice4Employers']}","{'@type': 'ImageObject', 'url': 'https://www.dice.com/binaries/large/content/gallery/dice/insights/2021/04/shutterstock_1892591332.jpg', 'width': 1200, 'height': 657}",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vdG93YXJkc2RhdGFzY2llbmNlLmNvbS90aGUtcm9sZS1vZi1jbG91ZC1jb21wdXRpbmctaW4tYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtNTA3ZmZkNjhjYTQ20gEA?oc=5,The Role of Cloud Computing in Artificial Intelligence - Towards Data Science,2021-04-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vc3BlY3RydW0uaWVlZS5vcmcvdGhlLXN0YXRlLW9mLWFpLWluLTE1LWdyYXBoc9IBRWh0dHBzOi8vc3BlY3RydW0uaWVlZS5vcmcvYW1wL3RoZS1zdGF0ZS1vZi1haS1pbi0xNS1ncmFwaHMtMjY1NDQ0MzAzNA?oc=5,15 Graphs You Need to See to Understand AI in 2021 - IEEE Spectrum,2021-04-15,N/A,"<p>The 2021 AI Index provides insight into jobs, publications, diversity, and more</p>",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,NewsArticle,,"{'@id': 'https://spectrum.ieee.org/the-state-of-ai-in-15-graphs', '@type': 'WebPage'}",15 Graphs You Need to See to Understand AI in 2021,2021-04-15T18:50:00Z,2022-11-22T21:05:26Z,,,https://spectrum.ieee.org/the-state-of-ai-in-15-graphs,"{'@type': 'Person', 'alumniOf': 'Tufts University; Columbia University ', 'description': 'Eliza Strickland is a senior editor at IEEE Spectrum , where she covers AI, biomedical engineering, and other topics. She holds a master’s degree in journalism from Columbia University.', 'identifier': 'https://spectrum.ieee.org/u/eliza-strickland', 'image': {'@type': 'ImageObject', 'url': 'https://spectrum.ieee.org/media-library/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy8yNjY0NTkxNC9vcmlnaW4ucG5nIiwiZXhwaXJlc19hdCI6MTc1NDM4NzE3M30.MTQySQ4SkKwqBh31wur--gqjA9a52wpqPBFrbbae81E/image.png?width=210'}, 'jobTitle': 'Senior Editor', 'knowsAbout': 'Eliza Strickland is a Senior Editor at IEEE Spectrum covering AI and biomedical engineering.', 'name': 'Eliza Strickland', 'sameAs': ['', 'https://twitter.com/newsbeagle', 'https://www.linkedin.com/in/elizastrickland'], 'url': 'https://spectrum.ieee.org/u/eliza-strickland', 'worksFor': 'IEEE Spectrum'}","{'@type': 'Organization', 'logo': {'@type': 'ImageObject', 'height': 210, 'url': 'https://assets.rbl.ms/26794698/origin.png', 'width': 2000}, 'name': 'IEEE Spectrum'}",https://assets.rbl.ms/27135598/origin.jpg,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvYWktdG8tcmVwbGFjZS01MC1wZXJjZW50LWxvdy1za2lsbGVkLWpvYnMtaW4tNS03LXllYXJzLXNheXMtYmVyb2UtaW5jLTMwMTI2NzQ5MC5odG1s0gEA?oc=5,"AI to Replace 50 Percent Low-Skilled Jobs in 5-7 Years, Says Beroe Inc - PR Newswire",2021-04-13,N/A,"/PRNewswire/ -- About 50 percent of the low-skill work population worldwide will be supplanted by the AI industry in the next 5-7 years, says Beroe Inc....",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,NewsArticle,,{'@id': 'https://www.prnewswire.com/news-releases/ai-to-replace-50-percent-low-skilled-jobs-in-5-7-years-says-beroe-inc-301267490.html'},"AI to Replace 50 Percent Low-Skilled Jobs in 5-7 Years, Says Beroe Inc",2021-04-13T09:00:00-04:00,2021-04-13T09:00:00-04:00,,,,,,['https://mma.prnewswire.com/media/777512/Beroe_Logo.jpg?p=facebook'],,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnN0YXRpc3RhLmNvbS9jaGFydC8yNDYxNC9zaGFyZS1vZi1lbnRlcnByaXNlcy11c2luZy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1pbi10aGUtZXUv0gFmaHR0cHM6Ly93d3cuc3RhdGlzdGEuY29tL2NoYXJ0L2FtcC8yNDYxNC9zaGFyZS1vZi1lbnRlcnByaXNlcy11c2luZy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1pbi10aGUtZXUv?oc=5,Where AI Is Making Strides In The EU - Statista,2021-04-14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vZW50ZXJwcmlzZXJzcHJvamVjdC5jb20vYXJ0aWNsZS8yMDIxLzQvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtNC10aXBzLWdldC1ub24tdGVjaGllcy1ib2FyZNIBAA?oc=5,Artificial Intelligence (AI): 4 tips to get non-techies on board - The Enterprisers Project,2021-04-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnJvdGhzY2hpbGRhbmRjby5jb20vZW4vbmV3c3Jvb20vaW5zaWdodHMvMjAxOS8xMC9hcnRpZmljaWFsLWludGVsbGlnZW5jZS_SAQA?oc=5,Wealth Management: Instant Insights – Artificial Intelligence - Rothschild & Co,2021-04-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://schema.org,NewsArticle,,,Wealth Management: Instant Insights – Artificial Intelligence,2021-04-13T23:00:00+01:00,2020-05-07T17:16:50+01:00,,,https://www.rothschildandco.com/en/newsroom/insights/2019/10/artificial-intelligence/,"{'@context': 'http://schema.org', '@type': 'Person'}","{'logo': 'https://www.rothschildandco.com/siteassets/images/RothschildCo_Logo.png', 'name': 'Rothschild & Co', 'url': 'https://www.rothschildandco.com/en/', '@context': 'http://schema.org', '@type': 'Organization'}",,,,,,,N/A,N/A,N/A,2021-04-13T23:00:00+01:00,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMijwFodHRwczovL25ld3Nyb29tLmFjY2VudHVyZS5jb20vbmV3cy8yMDIxL2JoYXJhdC1wZXRyb2xldW0tY29sbGFib3JhdGVzLXdpdGgtYWNjZW50dXJlLXRvLWRpZ2l0YWxseS10cmFuc2Zvcm0taXRzLXNhbGVzLWFuZC1kaXN0cmlidXRpb24tbmV0d29ya9IBAA?oc=5,Accenture helps to digitally transform BPCL's sales and distribution network using AI and Machine Learning. - Newsroom | Accenture,2021-04-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vY3VzdG9tZXJ0aGluay5jb20vYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaW4tbG9naXN0aWNzLW1heGltaXppbmctb3BlcmF0aW9uYWwtZWZmaWNpZW5jeS_SAQA?oc=5,Artificial Intelligence in Logistics – Maximizing Operational Efficiency - Customer Think,2021-04-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://schema.org,BreadcrumbList,"[{'@type': 'ListItem', 'position': 1, 'item': {'@type': 'WebSite', '@id': 'https://customerthink.com/', 'name': 'Home'}}, {'@type': 'ListItem', 'position': 2, 'item': {'@type': 'WebPage', '@id': 'https://customerthink.com/category/content-type/', 'name': 'All Content'}}, {'@type': 'ListItem', 'position': 3, 'item': {'@type': 'WebPage', '@id': 'https://customerthink.com/category/content-type/blog/', 'name': 'Blog'}}]",,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
