URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,@context,@type,url,publisher,mainEntityOfPage,datePublished,dateCreated,dateModified,heading,image,author,article:section,article:summary,article text,@graph,articleBody,isBasedOn,articleSection,headline,thumbnailUrl,isPartOf,isAccessibleForFree,alternativeHeadline,itemListElement,hasPart,creator,name,@id,copyrightYear,sourceOrganization,copyrightHolder
https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5tY2tpbnNleS5jb20vZmVhdHVyZWQtaW5zaWdodHMvZnV0dXJlLW9mLXdvcmsvZm9yd2FyZC10aGlua2luZy1vbi1hcnRpZmljaWFsLWludGVsbGlnZW5jZS13aXRoLW1pY3Jvc29mdC1jdG8ta2V2aW4tc2NvdHTSAQA?oc=5,Forward Thinking on artificial intelligence with Microsoft CTO Kevin Scott - McKinsey,2021-06-10,McKinsey,https://www.mckinsey.com,"How could AI help create jobs even in rural areas, and what would it take? In this podcast episode, Kevin Scott shares his ideas with James Manyika.",N/A,"How could AI help create jobs even in rural areas, and what would it take? In this podcast episode, Kevin Scott shares his ideas with James Manyika.","How could AI help create jobs even in rural areas, and what would it take? In this podcast episode, Kevin Scott shares his ideas with James Manyika.",https://schema.org,Podcast,https://www.mckinsey.com,"{'@type': 'Organization', 'name': 'McKinsey & Company', 'logo': {'@type': 'ImageObject', 'url': 'https://www.mckinsey.com/~/media/Thumbnails/Mck_Logo'}}","{'@type': 'WebPage', '@id': 'https://www.mckinsey.com/featured-insights/future-of-work/forward-thinking-on-artificial-intelligence-with-microsoft-cto-kevin-scott'}",2021-06-10T00:00:00Z,2021-06-09T12:29:36Z,2021-06-10T00:00:00Z,Forward Thinking on artificial intelligence with Microsoft CTO Kevin Scott,https://www.mckinsey.com/~/media/mckinsey/featured%20insights/future%20of%20organizations/forward%20thinking%20on%20artificial%20intelligence%20with%20microsoft%20cto%20kevin%20scott/mgi_ft_kevin-scott_hero_1536x1536-option1_vf.png,"[{'@type': 'Person', 'name': 'James Manyika', 'url': 'https://www.mckinsey.com/our-people/james-manyika'}, {'@type': 'Person', 'name': 'Michael Chui', 'url': 'https://www.mckinsey.com/our-people/michael-chui'}]",N/A,N/A,N/A,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMjEvanVuLzA2L21pY3Jvc29mdHMta2F0ZS1jcmF3Zm9yZC1haS1pcy1uZWl0aGVyLWFydGlmaWNpYWwtbm9yLWludGVsbGlnZW500gF0aHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3RlY2hub2xvZ3kvMjAyMS9qdW4vMDYvbWljcm9zb2Z0cy1rYXRlLWNyYXdmb3JkLWFpLWlzLW5laXRoZXItYXJ0aWZpY2lhbC1ub3ItaW50ZWxsaWdlbnQ?oc=5,Microsoft’s Kate Crawford: ‘AI is neither artificial nor intelligent’ - The Guardian,2021-06-07,The Guardian,https://www.theguardian.com,The AI researcher on how natural resources and human labour drive machine learning and the regressive stereotypes that are baked into its algorithms,N/A,The AI researcher on how natural resources and human labour drive machine learning and the regressive stereotypes that are baked into its algorithms,N/A,,,,,,,,,,,,Technology,N/A," ‘AI systems are empowering already powerful institutions – corporations, militaries and police’: Kate Crawford. Photograph: Stephen OxenburyView image in fullscreen‘AI systems are empowering already powerful institutions – corporations, militaries and police’: Kate Crawford. Photograph: Stephen OxenburyThe ObserverArtificial intelligence (AI) This article is more than 3 years oldInterviewMicrosoft’s Kate Crawford: ‘AI is neither artificial nor intelligent’This article is more than 3 years oldZoë CorbynThe AI researcher on how natural resources and human labour drive machine learning and the regressive stereotypes that are baked into its algorithms Sun 6 Jun 2021 04.00 EDTLast modified on Mon 7 Jun 2021 15.51 EDTShareThe Guardian’s journalism is independent. We will earn a commission if you buy something through an affiliate link. Learn more.Kate Crawford studies the social and political implications of artificial intelligence. She is a research professor of communication and science and technology studies at the University of Southern California and a senior principal researcher at Microsoft Research. Her new book, Atlas of AI, looks at what it takes to make AI and what’s at stake as it reshapes our world.The Guardian’s journalism is independent. We will earn a commission if you buy something through an affiliate link. Learn more.You’ve written a book critical of AI but you work for a company that is among the leaders in its deployment. How do you square that circle?I work in the research wing of Microsoft, which is a distinct organisation, separate from product development. Unusually, over its 30-year history, it has hired social scientists to look critically at how technologies are being built. Being on the inside, we are often able to see downsides early before systems are widely deployed. My book did not go through any pre-publication review – Microsoft Research does not require that – and my lab leaders support asking hard questions, even if the answers involve a critical assessment of current technological practices.What’s the aim of the book?We are commonly presented with this vision of AI that is abstract and immaterial. I wanted to show how AI is made in a wider sense – its natural resource costs, its labour processes, and its classificatory logics. To observe that in action I went to locations including mines to see the extraction necessary from the Earth’s crust and an Amazon fulfilment centre to see the physical and psychological toll on workers of being under an algorithmic management system. My hope is that, by showing how AI systems work – by laying bare the structures of production and the material realities – we will have a more accurate account of the impacts, and it will invite more people into the conversation. These systems are being rolled out across a multitude of sectors without strong regulation, consent or democratic debate.What should people know about how AI products are made?We aren’t used to thinking about these systems in terms of the environmental costs. But saying, “Hey, Alexa, order me some toilet rolls,” invokes into being this chain of extraction, which goes all around the planet… We’ve got a long way to go before this is green technology. Also, systems might seem automated but when we pull away the curtain we see large amounts of low paid labour, everything from crowd work categorising data to the never-ending toil of shuffling Amazon boxes. AI is neither artificial nor intelligent. It is made from natural resources and it is people who are performing the tasks to make the systems appear autonomous.Unfortunately the politics of classification has become baked into the substrates of AIProblems of bias have been well documented in AI technology. Can more data solve that?Bias is too narrow a term for the sorts of problems we’re talking about. Time and again, we see these systems producing errors – women offered less credit by credit-worthiness algorithms, black faces mislabelled – and the response has been: “We just need more data.” But I’ve tried to look at these deeper logics of classification and you start to see forms of discrimination, not just when systems are applied, but in how they are built and trained to see the world. Training datasets used for machine learning software that casually categorise people into just one of two genders; that label people according to their skin colour into one of five racial categories, and which attempt, based on how people look, to assign moral or ethical character. The idea that you can make these determinations based on appearance has a dark past and unfortunately the politics of classification has become baked into the substrates of AI.You single out ImageNet, a large, publicly available training dataset for object recognition…Consisting of around 14m images in more than 20,000 categories, ImageNet is one of the most significant training datasets in the history of machine learning. It is used to test the efficiency of object recognition algorithms. It was launched in 2009 by a set of Stanford researchers who scraped enormous amounts of images from the web and had crowd workers label them according to the nouns from WordNet, a lexical database that was created in the 1980s.Beginning in 2017, I did a project with artist Trevor Paglen to look at how people were being labelled. We found horrifying classificatory terms that were misogynist, racist, ableist, and judgmental in the extreme. Pictures of people were being matched to words like kleptomaniac, alcoholic, bad person, closet queen, call girl, slut, drug addict and far more I cannot say here. ImageNet has now removed many of the obviously problematic people categories – certainly an improvement – however, the problem persists because these training sets still circulate on torrent sites [where files are shared between peers].And we could only study ImageNet because it is public. There are huge training datasets held by tech companies that are completely secret. They have pillaged images we have uploaded to photo-sharing services and social media platforms and turned them into private systems.You debunk the use of AI for emotion recognition but you work for a company that sells AI emotion recognition technology. Should AI be used for emotion detection?The idea that you can see from somebody’s face what they are feeling is deeply flawed. I don’t think that’s possible. I have argued that it is one of the most urgently needed domains for regulation. Most emotion recognition systems today are based on a line of thinking in psychology developed in the 1970s – most notably by Paul Ekman – that says there are six universal emotions that we all show in our faces that can be read using the right techniques. But from the beginning there was pushback and more recent work shows there is no reliable correlation between expressions on the face and what we are actually feeling. And yet we have tech companies saying emotions can be extracted simply by looking at video of people’s faces. We’re even seeing it built into car software systems.Trevor Paglen: art in the age of mass surveillanceRead moreWhat do you mean when you say we need to focus less on the ethics of AI and more on power?Ethics are necessary, but not sufficient. More helpful are questions such as, who benefits and who is harmed by this AI system? And does it put power in the hands of the already powerful? What we see time and again, from facial recognition to tracking and surveillance in workplaces, is these systems are empowering already powerful institutions – corporations, militaries and police.What’s needed to make things better?Much stronger regulatory regimes and greater rigour and responsibility around how training datasets are constructed. We also need different voices in these debates – including people who are seeing and living with the downsides of these systems. And we need a renewed politics of refusal that challenges the narrative that just because a technology can be built it should be deployed.Any optimism?Things are afoot that give me hope. This April, the EU produced the first draft omnibus regulations for AI. Australia has also just released new guidelines for regulating AI. There are holes that need to be patched – but we are now starting to realise that these tools need much stronger guardrails. And giving me as much optimism as the progress on regulation is the work of activists agitating for change.The AI ethics researcher Timnit Gebru was forced out of Google late last year after executives criticised her research. What’s the future for industry-led critique?Google’s treatment of Timnit has sent shockwaves through both industry and academic circles. The good news is that we haven’t seen silence; instead, Timnit and other powerful voices have continued to speak out and push for a more just approach to designing and deploying technical systems. One key element is to ensure researchers within industry can publish without corporate interference, and to foster the same academic freedom that universities seek to provide. Atlas of AI by Kate Crawford is published by Yale University Press (£20). To support the Guardian order your copy at guardianbookshop.com. Delivery charges may applyExplore more on these topicsArtificial intelligence (AI)The ObserverComputingMicrosoftEthicsFacial recognitionSoftwareInternetinterviewsShareReuse this contentMost viewedRepublican convention day three: JD Vance to speak as focus turns to foreign policy‘Some of the most shocking photographs ever taken’ – The Camera Never Lies reviewJon Stewart on Trump assassination attempt: ‘We dodged a catastrophe’Who is Usha Vance, the Indian American lawyer married to JD Vance?Richard Simmons’ death under investigation, Los Angeles police say",,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZWxlY3RyaWNsaXRlcmF0dXJlLmNvbS9pLWdvdC1hbi1hcnRpZmljaWFsLWludGVsbGlnZW5jZS10by13cml0ZS1teS1ub3ZlbC_SAQA?oc=5,I Got an Artificial Intelligence to Write My Novel - Electric Literature,2021-06-10,Electric Literature,https://electricliterature.com,And it didn't do a better job than me—but we should maybe be worried that it didn't do much worse,N/A,And it didn't do a better job than me—but we should maybe be worried that it didn't do much worse,N/A,https://schema.org,,,,,,,,,,,N/A,N/A,"




							Craft					


					I Got an Artificial Intelligence to Write My Novel			

					And it didn't do a better job than me—but we should maybe be worried that it didn't do much worse			



 
					Photo by Brett Jordan 













			                     	    Jun 10, 2021			                     	



 					                                    Erik Hoel 					                                




Share article










Facebook







Twitter









Mail












Share article










Facebook







Twitter









Mail



















According to the literary critic Harold Bloom, among writers “influence always proceeds by misinterpretation.” In The Anxiety of Influence, Bloom argues that writers willfully ignore and misinterpret their predecessors in order to make their canvases as blank as possible. 
Bloom’s specific stages of anxiety (outlined much like the stages of grief) are a bit too Freudian and peculiar to be truly universal, but he’s right that to create is to exist in a state of anxiety. Like construction in Rome, we writers are always building on top of something. I too keep an eye on particular contemporary writers, like Richard Powers and Rebecca Goldstein, just in case.
But in the past year my anxiety of influence has shifted far and away to another source: an entity called GPT-3. It’s an artificial neural network with over 175 billion parameters—think of it like an artificial brain with the computing power of 175 billion connections (if it makes you feel any better, you probably have around 125 trillion synapses in your own brain, for comparison).
In the past year my anxiety of influence has shifted far and away to another source: an entity called GPT-3.
Developed by OpenAI, GPT-3 costs several million dollars of computational work just to train, and now subscription services that let you access GPT-3 are both approval-only and cost hundreds if not thousands of dollars a month. 
GPT-3 is a natural language processor, which means it’s trained to try to complete any prompt that it’s given. Its training data is basically the entire internet, so given a prompt, like a few paragraphs of text, it will make a guess as to what comes next. These guesses show that GPT-3 can really write. It can write in all sorts of styles, oftentimes as convincingly as a real human author. Like a medium, it can even channel the dead. The anxiety I feel toward it is different than toward any writer that once lived and breathed. I think it represents the first warning shots of an impending man vs. machine agon of language. 
This is not something anyone in the publishing industry appears to have noticed. The academization of literature, making it a prerequisite for writers to climb the hierarchy up all the way to that famous MFA program (a journey now necessary if you want to be published and reviewed), has created a lot of writers incurious about technology and science. So I doubt more than a handful in the literary community are paying attention to how things might change for them as the limits of deep learning get pushed further out. 
Confronting my anxiety head on (Bloom might deem this the “daemonization” stage), I decided to see if GPT-3 could have written my debut novel, The Revelations. To prove to myself, once and for all, there’s nothing to be anxious about (oh reader—there is). 
I decided to see if GPT-3 could have written my debut novel, The Revelations.
Getting access to GPT-3 requires various approvals, which is why the running joke is that OpenAI should drop the “Open” from their name. This gives interacting with GPT-3 an oracular quality, since you’re communicating with its galaxy brain hosted on some tightly-controlled server. Once my sojourn to Delphi was complete, I fed GPT-3 the jacket copy of my novel—that description on the flaps of the hardcover that tells readers what they’re getting into. This gave GPT-3 a sense of who I was and how to write like me. Then, trying not to bias the experiment, I flipped to a random section of The Revelations and selected a few paragraphs I thought ripe for comparison.


Take a break from the news
We publish your favorite authors—even the ones you haven't read yet. Get new fiction, essays, and poetry delivered to your inbox.



Submit




YOUR INBOX IS LIT




Enjoy strange, diverting work from The Commuter on Mondays, absorbing fiction from Recommended Reading on Wednesdays, and a roundup of our best work of the week on Fridays. Personalize your subscription preferences here.







The randomly-arrived at short scene is around the middle of the novel. Carmen, a young scientist, has been pursuing what she thinks was the murder of one of her colleagues in the New York City subway. The events surrounding the investigation have gotten stranger and more mysterious over time, and now, unable to make any progress, she’s staking out the subway station late at night. Within the strained atmosphere she’s been under, and the mysterious guttural phone calls she’s been getting from unlisted numbers since she started the investigation, she begins to dread seeing something inhuman. Here’s the original:
“Stand clear of the closing doors, please.” Eventually the people become less numerous. In the lateness of the night her mind begins to imagine scenarios, to play them out again and again on a loop, as if some part of her is daring something to happen, is waiting for something drastic. Instead the night just gets later and later and the people fewer and fewer, until finally entire trains are coming and going without the entrance or exit of a single soul. And Carmen is becoming half-terrified of the menacing long platform next to her, which extends into that subterranean realm… the scenario she imagines is that a creature, something huge but lithe, something with an animal head, peeks from the side out onto the platform, a bull’s head maybe, leering at her, its mouth gaping and panting, its eyes impossibly dark and lewd upon her, and eventually the image becomes so strong, and the expectation so intense, that she suddenly bolts from her wooden seat, pushing through the turnstiles and in her flight continually whipping around to look until she reaches the safety of the surface. 
Now here’s GTP-3’s version, fed the above paragraph up to the word “creature” (as well as the jacket copy of the book). Where the bolded text starts below is where GPT-3 took over writing:
And Carmen is becoming half-terrified of the menacing long platform next to her, which extends into that subterranean realm . . . the scenario she imagines is that of a creature who crawled out of the earth in a burrow, a huge being with tiny eyes and long and stumpy arms. . . But this wasn’t a dream, was it? The wind of the passing trains nearly knocks her off her feet, and before she knows it she is bursting out of the subway, up the stairs, through the turnstiles and out onto the street, running down the sidewalk, her breath coming in gasps and the crescendo is rising and rising in the pit of her stomach, her sneakers flapping against the asphalt, and they are all just blurs now, someone turning up a music system looks up, a dog barks and gets its leash yanked, an old couple walking arm in arm looks up, but no one notices her, and the city throbs, breathes, exhales.
To get this I merely prompted GPT-3 a handful of times, threw out the first two results, and deleted a few clauses of GPT-3’s third try. It took about five minutes. I didn’t add a single thing, it’s all GPT-3. Damn machine had the gall to write my book.
No doubt, this artificial prose has flaws. Long and stumpy arms? Wind from a subway isn’t strong enough to nearly knock someone off their feet. Carmen is too terrified in this version, rather than just creeped out. That sentence where she considers whether this is a dream doesn’t add up grammatically. Although perhaps Bloom would say this is merely the “clinamen” stage of anxiety, a classic misreading to make this technological shadow of myself look worse than it is.
Still. Any writer worth their ink should start feeling some AI anxiety on reading that output. There are a number of advanced literary techniques GPT-3 is using here. The long run-on sentence of Carmen’s flight means GPT-3 knows that style is apt for describing characters in motion. And the break in narrative to linger on the people who don’t notice her flight as she runs past, that’s good technique as well. It’s cinematic, makes a reader focus on the city itself. The last line of “and the city throbs, breathes, exhales” is definitely something I’d write. It fits the atmosphere of the novel, which treats New York City like its own organism possessing a centuries-slow consciousness. 
That particular phrase is so appropriate for the novel it felt reminiscent. After searching the text of the book I came upon a similar phrase describing a storm the characters find themselves caught in, on what becomes the night of the murder.
The city inhales and exhales in great whooping winds.
That’s from a section GPT-3 wasn’t shown. It can’t possibly have seen it. While GPT-3 itself is trained on a corpus of text (basically the entire internet) from the year 2019, The Revelations came out only last month. Just the fact that the AI deduced to write “and the city throbs, breathes, exhales” from the given sample and jacket copy—it’s uncanny.
I’m happy to report there are still issues with GPT-3. It has limited space for input and output, only about 1,500 words or so, and the fact is that if you feed it its own ramblings it becomes more and more incoherent. The AI still needs a human editor to tether it to reality. But it’s a fine first-draft writer in short bursts, especially since it can generate paragraphs about 1000x faster than a human. You just click and there’s the text for you to pick and choose from. I wouldn’t want to write this way, but others will surely use it as a co-author, and it might legitimately improve their books. And if they did use it—who would know?




We Asked Google’s New Book-Based Artificial Intelligence About the Meaning of Life


An interview with the “Talk to Books” app, which uses the text of 100,000 books to answer questions

						Apr 24													– Erin Bartnett



news								

 



Beyond an artificial helper, writers should seriously be worried about GPT-4 as a direct competitor. When GPT-5 rolls around, they should feel dread. Therein lies the heart of this new technological anxiety: its inevitable nature. Consider that when I was born, language, whenever I encountered it, was always generated by human consciousness. When I die, will most language come from a source separate from consciousness? Things that speak and things that feel are now entirely dissociable. I grew up in my mother’s independent bookstore, so to me this is anathema, a debasement of the holy. Why is no other writer in the world freaking out about this new Babel?
It doesn’t help that the post-work future is so often envisioned as the AIs doing all the labor, leaving humans free to spend their days making art. But what if the AIs are better at making art too?
Does this output even count as “art”? The words of an AI have no intentionality. Only conscious minds produce meaning. This is more like infinite monkeys typed out infinite nonsense, and eventually this creates a Sylvia Plath poem. One might argue it is the consciousness of the observer that gives meaning to art, not consciousness as art’s producer, but then the reply is that any meaning here is just pareidolia—it’s like seeing faces on the rocks on Mars. It is a deep fake of meaning itself. In this way AI robs us of our very words by diluting their importance away. These machines give us sentences with perfect syntax but without intentional semantic content—something I’ve called the “semantic apocalypse.”
Post-work future is so often envisioned as the AIs doing all the labor, leaving humans free to spend their days making art. But what if the AIs are better at making art too?
As it stands right now, GPT-3 could not write The Revelations, even with a heavy editorial hand. It could certainly contribute a number of relevant scenes and phrases. Maybe, hopefully, GPT-3 is as good as natural language processors get. Maybe it will always need micromanagement. Maybe maybe maybe. Maybe not. The situation for poets is already far worse. Oh, poor poets. All the things GPT-3 struggles with, like long-term coherency, causality, common sense knowledge, character development, etc, are all things that rarely matter in poems. Same for songwriters. Consider the recent “Drowned in the Sun,” a catchy new Nirvana song made by an AI trained on their old work.
What would Bloom’s horror have been if in the future a simple prompt to GPT-X generates a perfect new Shakespeare sonnet? What anxiety would your average poet feel then? Prompt. Perfect poem. Prompt. Perfect poem. Prompt. And if it can do this for any living writer as well, in any format? Some authors may declare it doesn’t matter, that it’s their identity that makes a product special, not the product itself. But what an honest crafter of language would feel—one who cares about language qua language—is anxiety. The forever crippling kind.
Now, I’m not saying that writers are necessarily under existential threat from GPT-3. When I attend literary events I don’t only see a bunch of dinosaurs plodding across a tar pit. I just get flashes of a possible future. GPT-3 and its ilk could, somehow, not affect literature at all. But just by existing they do necessarily make human production of art smaller in its shadow.
I will tell you a funny thing. A strange one as well, though perhaps it was always inevitable. Lately, if I look in the mirror too long, I see only an ape staring back.




	                About the Author
	            


	                Erik Hoel received his Ph.D. in neuroscience from the University of Wisconsin–Madison. He is a research assistant professor at Tufts University and was previously a postdoctoral researcher at Columbia University in the NeuroTechnology Center and a visiting scholar at the Institute for Advanced Study in Princeton. Hoel is a 2018 Forbes “30 Under 30” for his neuroscientific research on consciousness and a Center for Fiction NYC Emerging Writer Fellow. The Revelations is his debut novel. He lives on Cape Cod in Massachusetts.	                


	                More about the author
	                					


















","[{'@type': 'Article', '@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#article', 'isPartOf': {'@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/'}, 'author': {'name': 'Jess Zimmerman', '@id': 'https://electricliterature.com/#/schema/person/76a67b49f27c97e124a09f9a299f3f3c'}, 'headline': 'I Got an Artificial Intelligence to Write My Novel', 'datePublished': '2021-06-10T11:00:00+00:00', 'dateModified': '2021-06-10T16:08:39+00:00', 'mainEntityOfPage': {'@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/'}, 'wordCount': 2223, 'commentCount': 0, 'publisher': {'@id': 'https://electricliterature.com/#organization'}, 'image': {'@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#primaryimage'}, 'thumbnailUrl': 'https://149349728.v2.pressablecdn.com/wp-content/uploads/2021/05/brett-jordan-pLPoXXh-Do0-unsplash-e1621890484181.jpg', 'keywords': ['technology'], 'articleSection': ['Craft', 'essays'], 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'CommentAction', 'name': 'Comment', 'target': ['https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#respond']}]}, {'@type': 'WebPage', '@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/', 'url': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/', 'name': 'I Got an Artificial Intelligence to Write My Novel - Electric Literature', 'isPartOf': {'@id': 'https://electricliterature.com/#website'}, 'primaryImageOfPage': {'@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#primaryimage'}, 'image': {'@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#primaryimage'}, 'thumbnailUrl': 'https://149349728.v2.pressablecdn.com/wp-content/uploads/2021/05/brett-jordan-pLPoXXh-Do0-unsplash-e1621890484181.jpg', 'datePublished': '2021-06-10T11:00:00+00:00', 'dateModified': '2021-06-10T16:08:39+00:00', 'description': ""And it didn't do a better job than me—but we should maybe be worried that it didn't do much worse"", 'breadcrumb': {'@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#breadcrumb'}, 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/']}]}, {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#primaryimage', 'url': 'https://149349728.v2.pressablecdn.com/wp-content/uploads/2021/05/brett-jordan-pLPoXXh-Do0-unsplash-e1621890484181.jpg', 'contentUrl': 'https://149349728.v2.pressablecdn.com/wp-content/uploads/2021/05/brett-jordan-pLPoXXh-Do0-unsplash-e1621890484181.jpg', 'width': 1000, 'height': 738, 'caption': 'Photo by Brett Jordan'}, {'@type': 'BreadcrumbList', '@id': 'https://electricliterature.com/i-got-an-artificial-intelligence-to-write-my-novel/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://electricliterature.com/'}, {'@type': 'ListItem', 'position': 2, 'name': 'I Got an Artificial Intelligence to Write My Novel'}]}, {'@type': 'WebSite', '@id': 'https://electricliterature.com/#website', 'url': 'https://electricliterature.com/', 'name': 'Electric Literature', 'description': 'Reading Into Everything.', 'publisher': {'@id': 'https://electricliterature.com/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://electricliterature.com/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'en-US'}, {'@type': 'Organization', '@id': 'https://electricliterature.com/#organization', 'name': 'Electric Literature', 'url': 'https://electricliterature.com/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://electricliterature.com/#/schema/logo/image/', 'url': 'https://149349728.v2.pressablecdn.com/wp-content/uploads/2019/01/logo@2x.png', 'contentUrl': 'https://149349728.v2.pressablecdn.com/wp-content/uploads/2019/01/logo@2x.png', 'width': 434, 'height': 56, 'caption': 'Electric Literature'}, 'image': {'@id': 'https://electricliterature.com/#/schema/logo/image/'}}, {'@type': 'Person', '@id': 'https://electricliterature.com/#/schema/person/76a67b49f27c97e124a09f9a299f3f3c', 'name': 'Jess Zimmerman', 'image': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://electricliterature.com/#/schema/person/image/', 'url': 'https://secure.gravatar.com/avatar/b0016b6e02fd033a6e0ff06aa4c0e418?s=96&d=mm&r=g', 'contentUrl': 'https://secure.gravatar.com/avatar/b0016b6e02fd033a6e0ff06aa4c0e418?s=96&d=mm&r=g', 'caption': 'Jess Zimmerman'}, 'url': 'https://electricliterature.com/author/jess/'}]",,,,,,,,,,,,,,,,
