URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,mainEntity,@context,@type,article:section,article:summary,article text,@graph,logo,name,url,sameAs,mainEntityOfPage,dateModified,publisher,headline,image,author,datePublished,itemListElement,thumbnailUrl,articleBody,dateCreated,isPartOf,articleSection,alternativeHeadline,inLanguage,copyrightHolder
https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvZDQxNTg2LTAyMC0wMjAwMy0y0gEA?oc=5,"Don't ask if artificial intelligence is good or fair, ask how it shifts power - Nature.com",2020-07-07,Nature.com,https://www.nature.com,Those who could be exploited by AI should be shaping its projects.,N/A,Those who could be exploited by AI should be shaping its projects.,Nature - Those who could be exploited by AI should be shaping its projects.,"{'headline': 'Don’t ask if artificial intelligence is good or fair, ask how it shifts power', 'description': 'Those who could be exploited by AI should be shaping its projects. Those who could be exploited by AI should be shaping its projects.', 'datePublished': '2020-07-07T00:00:00Z', 'dateModified': '2020-07-07T00:00:00Z', 'pageStart': '169', 'pageEnd': '169', 'sameAs': 'https://doi.org/10.1038/d41586-020-02003-2', 'keywords': ['Ethics', 'Research data', 'Research management', 'Society', 'Science', 'Humanities and Social Sciences', 'multidisciplinary'], 'image': [], 'isPartOf': {'name': 'Nature', 'volumeNumber': '583', '@type': ['Periodical', 'PublicationVolume']}, 'publisher': {'name': 'Nature Publishing Group UK', 'logo': {'url': 'https://www.springernature.com/app-sn/public/images/logo-springernature.png', '@type': 'ImageObject'}, '@type': 'Organization'}, 'author': [{'name': 'Pratyusha Kalluri', '@type': 'Person'}], 'isAccessibleForFree': True, '@type': 'NewsArticle'}",https://schema.org,WebPage,N/A,N/A,"




WORLD VIEW
07 July 2020

Don’t ask if artificial intelligence is good or fair, ask how it shifts power





                    Those who could be exploited by AI should be shaping its projects.
                




    By
    
        
        
                Pratyusha Kalluri0




Pratyusha Kalluri


Pratyusha Kalluri is a co-creator of the Radical AI Network and an AI researcher at Stanford University in California.




View author publications

You can also search for this author in PubMed
 Google Scholar













Twitter





Facebook





Email











Access through your institution




Buy or subscribe




Law enforcement, marketers, hospitals and other bodies apply artificial intelligence (AI) to decide on matters such as who is profiled as a criminal, who is likely to buy what product at what price, who gets medical treatment and who gets hired. These entities increasingly monitor and predict our behaviour, often motivated by power and profits.

Access options





Access through your institution









Access through your institution




Change institution




Buy or subscribe



Access Nature and 54 other Nature Portfolio journalsGet Nature+, our best-value online-access subscription$29.99 / 30 dayscancel any timeLearn moreSubscribe to this journalReceive 51 print issues and online access$199.00 per yearonly $3.90 per issueLearn moreRent or buy this articlePrices vary by article typefrom$1.95to$39.95Learn morePrices may be subject to local taxes which are calculated during checkout

Additional access options:


Log in


Learn about institutional subscriptions


Read our FAQs


Contact customer support




Nature 583, 169 (2020)
doi: https://doi.org/10.1038/d41586-020-02003-2



Reprints and permissions

Related Articles





                        
                        The battle for ethical AI at the world’s biggest machine-learning conference
                    






                        
                        AI can be sexist and racist — it’s time to make it fair
                    



Subjects


Research data


Research management


Society


Ethics



Latest on:


Research data





Estonians gave their DNA to science — now they’re learning their genetic secrets
News 26 JUN 24





Not all ‘open source’ AI models are actually open: here’s a ranking
News 19 JUN 24





Cyberattacks are hitting research institutions — with devastating effects
News 13 JUN 24






Research management





Your reagent is past its use-by date. Should you bin it?
Technology Feature 15 JUL 24





Is your research a trade secret? South Korean data-sharing case is a wake-up call
World View 03 JUL 24




To regain lost public trust, incorporate research ethics into graduate training
Correspondence 02 JUL 24






Society





Maggie Aderin-Pocock on diversity: ‘It’s hard to find an argument against it’
Career Q&A 12 JUL 24





What Twisters gets right — and wrong — about tornado science
News 12 JUL 24





Harrowing trends: how endangered-species researchers find hope in the dark
Career Feature 08 JUL 24










Estonians gave their DNA to science — now they’re learning their genetic secrets
News 26 JUN 24





Not all ‘open source’ AI models are actually open: here’s a ranking
News 19 JUN 24





Cyberattacks are hitting research institutions — with devastating effects
News 13 JUN 24










Jobs
                





Postdoctoral Fellow

To study how a population of skeletal stem cells mediate bone regeneration and orchestrate a composite tissue regeneration program using mouse models.
Hospital for Special Surgery, New York City, New York (US)
Hospital for Special Surgery








Lecturer / Associate Professor in Advanced Cell Models

Lecturer / Associate Professor in Advanced Cell Models Cell and Developmental Biology Location: Highfield Campus Salary: £44,263 to £72,018 per ann...
Southampton, Hampshire (GB)
University of Southampton








Lecturer / Associate Professor in Biological Sciences

Lecturer / Associate Professor in Biological Sciences School of Biological Sciences Location: Highfield Campus Salary: £44,263 to £72,018 per annum...
Southampton, Hampshire (GB)
University of Southampton








Associate Professor / Professor in Microbial Biofilms

Associate Professor / Professor in Microbial Biofilms Microbiology Location: Highfield Campus Salary: Associate Professor Level 6 - £57,696 to £72,...
Southampton, Hampshire (GB)
University of Southampton








Lecturer / Associate Professor in Computational Biology

Lecturer / Associate Professor in Computational Biology School of Biological Sciences Location: Highfield Campus Salary: £44,263 to £72,018 per ann...
Southampton, Hampshire (GB)
University of Southampton








",,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnJvY2tlZmVsbGVyZm91bmRhdGlvbi5vcmcvaW5zaWdodHMvcGVyc3BlY3RpdmUvYS1icmV0dG9uLXdvb2RzLWZvci1haS1lbnN1cmluZy1iZW5lZml0cy1mb3ItZXZlcnlvbmUv0gEA?oc=5,A Bretton Woods for AI: Ensuring Benefits for Everyone - The Rockefeller Foundation,2020-07-08,The Rockefeller Foundation,https://www.rockefellerfoundation.org,,N/A,"If “intelligence” helps us solve problems, we need as much as we can get right now. The Covid-19 virus, having killed over 500,000 people in just six",N/A,,https://schema.org,,N/A,N/A,"If “intelligence” helps us solve problems, we need as much as we can get right now. The Covid-19 virus, having killed over 500,000 people in just six months is also sparking a cascade of economic and social disruptions. And it’s only July.We benefit from intelligence when it helps us find a vaccine. But we also suffer from intelligence when it uses the crisis to advance polarized political goals. In each case, there is a blend of human and artificial intelligence at work. The crisis is accelerating the integration of AI in every aspect of our lives. How we manage AI’s role in addressing the crisis and managing our recovery will define our next era. As we reimagine a way forward, The Rockefeller Foundation is betting that AI will help rebalance and reset the future in a way that addresses current inequities. To realize that outcome, we must develop a regulatory framework to ensure its responsible use.By regulatory framework, we don’t necessarily mean more regulation. And we don’t mean just trying to figure out the right rules. We mean that we need to reimagine an entire new rule-making system that guides AI towards society’s goals instead of our current de facto rule-making system that guides AI towards the market’s goals.Last fall, we convened a unique group of technologists, philosophers, economists, lawyers, artists, and philanthropists at our Bellagio Center in Italy to explore how AI can be harnessed to create a better future for humanity.From left to right. Top row: Tim O’Reilly, Richard Whitt, John Irons, Fred Dust, Tim Davies, Claudia Jeuch, Meredith Kellner, Stefaan Verhulst, Tariq Khokhar, Tobias Rees, Dan Huttenlocher, Zia Khan, Eric Nonacs, Nils Gilman, Danil Mikhailov, Mariana Mazzucato, Erin Lacey. Middle Row: Noah Levenson, Jake Porway, Rowan Conway, Sarah Newman, Hunter Goldman, Vilas Dhar, Meredith Broussard, Ronaldo Lemos, Christine Foster, Rumman Chowdhury, Jonathan Wong, Mark Surman, Marietje Schaake, Anjan Sundaram. Lower Row: Serife Wong, Heather Mason, Mary Gray, Katarzyna Szymielewicz, Payal Arora, Denis Therien, Roya Pakzad, Jen Pahlka, Amir Baradaran, Maya Indira Ganesh, Dahlia Peterson, Andrew Zolli, Camille Francois, Joy BuolomwiniAs a result of this meeting, we are sharing the launch of AI+1: Shaping Our Integrated Future, a collection of thoughts, ideas, and calls to action on artificial intelligence, written by some of the world’s most promising minds in the field. It’s not a technical report about AI, but rather a set of insights about how AI will weave into the fabric of our lives, our institutions, and our societies.The report doesn’t attempt to simplify a list of the “top 5 things we need to do.” That wouldn’t do justice to the nuance and depth of the issues we face today. Every time we shared a draft with someone, we were surprised at what new ideas it stimulated for people.As we discussed and debated the ideas and wove them together with many other partnerships and conversations, we landed on the importance of AI governance. There is a growing industry promoting AI principles, ethical guidelines, and calls to action. But if we want AI to be a force for good, particularly for people who will otherwise miss out on the benefits and bear the brunt of its potential harms, we need to create a system that guides the responsible development of AI and its usage in a growing number of applications. Some of the insights you’ll see in the report include:Responsible AI is impossible without responsible systems.Jake PorwayFounder and CEO of DataKindThe human CEOs of companies are nominally governed by their human boards of directors, but in truth, they are governed by something called ‘the market’—a vast, reflexive algorithmic system in which companies are relentlessly tasked to optimize for growth and profits, even if human values must be ignored.Tim O’ReillyFounder of O’Reilly MediaThis shift to private and opaque governance that lets company code set standards and regulate essential services is one of the most significant consequences of the increased use of AI systems.Marietje SchaakeInternational Policy Director of the Cyber Policy Center at StanfordRather than deploying AI solely for efficient economic production, what if we decide to unleash its potential for the achievement of human well-being and self-expression?Andrew ZolliVP of Impact Initiatives at PlanetResponsible AI is impossible without responsible systems.Jake PorwayFounder and CEO of DataKindThe human CEOs of companies are nominally governed by their human boards of directors, but in truth, they are governed by something called ‘the market’—a vast, reflexive algorithmic system in which companies are relentlessly tasked to optimize for growth and profits, even if human values must be ignored.Tim O’ReillyFounder of O’Reilly MediaPrevious QuoteNext Quote1 / 4I, along with the authors of this report, couldn’t have imagined how deeply relevant our discussions would become a few months later when the world woke up to a global pandemic followed by the urgent need for digital technologies and systems to address it. We’ve been at similar inflection points before and they’ve presented opportunities to rethink and reframe the world order as we know it. For example, the Bretton Woods agreements gave birth to the rule-making institutions of the World Bank and International Monetary Fund that have adapted to meet different needs at different times.The Rockefeller Foundation is looking at this moment in much the same way. We are hoping to mobilize new ideas, as represented by this report and our forthcoming virtual Bellagio Dialogues series, build practical applications, such as the Lacuna Fund which will expand the benefits of machine learning in low- and middle-income contexts, and incubate nascent technical solutions, such as the concept of an algorithmic vulnerability bounty. But we know that’s not enough, and we need to make a bold bet to develop a practical rule-making Bretton-Woods inspired framework to govern AI. It must address the needs of today and adapt to rapid social and technological change tomorrow. It requires a combination of government’s moral authority to set social goals with the private sector’s capacity to innovate new forms of regulation – not just the technology – to meet those goals. If defeating the Covid virus is our collective priority today, managing AI’s responsible development to benefit all of humanity has to be our collective priority for tomorrow. Read the report to learn more and share your thoughts to continue the conversation. Related UpdatesFeature AI+1: Shaping Our Integrated FutureAs we speak—and browse, and post photos, and move about—artificial intelligence is transforming the fabric of our lives. It is making life easier, better informed, healthier, more convenient. It also threatens to crimp our freedoms, worsen social disparities, and gives inordinate powers to unseen forces. Both AI’s virtues and risks have been on vivid display […] More  Jul 08 2020 Blog Post AI’s Invisible Hand: Why Democratic Institutions Need More Access to Information For Accountability More   Jul 08 2020 Blog Post Data Projects’ Secret to Success Is Not in the Algorithm More   Jul 08 2020 Blog Post Humanity and AI: Cooperation, Conflict, Co-Evolution More  Show More Updates  Jul 08 2020 Blog Post Making AI Work For Humans More   Jul 08 2020 Blog Post Mapping an AI Future More   Jul 08 2020 Blog Post Unlocking AI's Potential for Good Requires New Roles and Public-Private Partnership Models More  Show Less UpdatesReportAI+1: Shaping Our Integrated FutureThe Rockefeller Foundation convened a unique group of thinkers and doers at its Bellagio Center in Italy to weigh one of the great challenges of our time: How to harness the powers of machine learning for social good and minimize its harms. The resulting AI + 1 report includes diverse perspectives from top technologists, philosophers, economists, and artists at a critical moment during the current Covid-19 pandemic. Download PDFTags :AI","[{'@type': 'Article', '@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/#article', 'isPartOf': {'@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/'}, 'author': 'The Rockefeller Foundation', 'headline': 'A Bretton Woods for AI: Ensuring Benefits for Everyone', 'datePublished': '2020-07-08T06:58:41+00:00', 'dateModified': '2020-08-18T23:11:54+00:00', 'mainEntityOfPage': {'@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/'}, 'wordCount': 260, 'publisher': {'@id': 'https://www.rockefellerfoundation.org/#organization'}, 'image': {'@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/#primaryimage'}, 'thumbnailUrl': 'https://www.rockefellerfoundation.org/wp-content/uploads/2020/07/AI1-Report-Blog-Zia-Khan-Featured-Image-Square.png', 'keywords': ['AI'], 'inLanguage': 'en-US'}, {'@type': 'WebPage', '@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/', 'url': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/', 'name': 'A Bretton Woods for AI: Ensuring Benefits for Everyone', 'isPartOf': {'@id': 'https://www.rockefellerfoundation.org/#website'}, 'primaryImageOfPage': {'@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/#primaryimage'}, 'image': {'@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/#primaryimage'}, 'thumbnailUrl': 'https://www.rockefellerfoundation.org/wp-content/uploads/2020/07/AI1-Report-Blog-Zia-Khan-Featured-Image-Square.png', 'datePublished': '2020-07-08T06:58:41+00:00', 'dateModified': '2020-08-18T23:11:54+00:00', 'description': 'If “intelligence” helps us solve problems, we need as much as we can get right now. The Covid-19 virus, having killed over 500,000 people in just six', 'breadcrumb': {'@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/#breadcrumb'}, 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/']}]}, {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/#primaryimage', 'url': 'https://www.rockefellerfoundation.org/wp-content/uploads/2020/07/AI1-Report-Blog-Zia-Khan-Featured-Image-Square.png', 'contentUrl': 'https://www.rockefellerfoundation.org/wp-content/uploads/2020/07/AI1-Report-Blog-Zia-Khan-Featured-Image-Square.png', 'width': 2160, 'height': 2160}, {'@type': 'BreadcrumbList', '@id': 'https://www.rockefellerfoundation.org/insights/perspective/a-bretton-woods-for-ai-ensuring-benefits-for-everyone/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://www.rockefellerfoundation.org/'}, {'@type': 'ListItem', 'position': 2, 'name': 'A Bretton Woods for AI: Ensuring Benefits for Everyone'}]}, {'@type': 'WebSite', '@id': 'https://www.rockefellerfoundation.org/#website', 'url': 'https://www.rockefellerfoundation.org/', 'name': 'The Rockefeller Foundation', 'description': '', 'publisher': {'@id': 'https://www.rockefellerfoundation.org/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://www.rockefellerfoundation.org/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'en-US'}, {'@type': 'Organization', '@id': 'https://www.rockefellerfoundation.org/#organization', 'name': 'The Rockefeller Foundation', 'url': 'https://www.rockefellerfoundation.org/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.rockefellerfoundation.org/#/schema/logo/image/', 'url': 'https://www.rockefellerfoundation.org/wp-content/uploads/2023/02/Salesforce-RF-logo-avatar.png', 'contentUrl': 'https://www.rockefellerfoundation.org/wp-content/uploads/2023/02/Salesforce-RF-logo-avatar.png', 'width': 560, 'height': 280, 'caption': 'The Rockefeller Foundation'}, 'image': {'@id': 'https://www.rockefellerfoundation.org/#/schema/logo/image/'}, 'sameAs': ['https://www.facebook.com/rockefellerfoundation', 'https://x.com/RockefellerFdn', 'http://instagram.com/RockefellerFdn', 'https://www.linkedin.com/company/the-rockefeller-foundation', 'http://www.youtube.com/user/RockefellerFound']}]",,,,,,,,,,,,,,,,,,,,
