URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,article:section,article:summary,article text,@context,@graph,@type,mainEntityOfPage,name,datePublished,dateModified,text,publisher,image,author,mainEntity,itemListElement,url,headline,articleSection,isAccessibleForFree,genre,wordcount,alternativeHeadline,hasPart,comment,commentCount,copyrightHolder,sourceOrganization,copyrightYear,isPartOf,logo,@id,diversityPolicy,ethicsPolicy,masthead,foundingDate,sameAs,thumbnailUrl,articleBody,dateCreated
https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmNyYW5maWVsZC5hYy51ay9jb3Vyc2VzL3RhdWdodC9hcHBsaWVkLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNl0gEA?oc=5,Applied Artificial Intelligence MSc - Cranfield University,2019-05-17,Cranfield University,https://www.cranfield.ac.uk,Learn to work across disciplines and implement AI systems,N/A,N/A,N/A,N/A,N/A,"
QS rankings 
Cranfield University has been ranked amongst the world’s top universities in the latest QS World University Rankings by Subject.
In Engineering – Mechanical, Aeronautical and Manufacturing, Cranfield has been ranked 27th in the world and attaining top scores in Employer and Academic Reputation.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnRlY2huZXdzd29ybGQuY29tL3N0b3J5L2hvdy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1pcy1yZXNoYXBpbmctdGhlLXdvcmtmb3JjZS04NjAyMy5odG1s0gEA?oc=5,Artificial Intelligence Is Reshaping the Workforce - TechNewsWorld,2019-05-17,TechNewsWorld,https://www.technewsworld.com,"Shoppers soon might see a lot more robots in Walmart stores -- but not toy robots or even human assistant gadgets that are available for purchase. Walmart's new robots will be taking over repeatable, predictable and manual tasks that up to now have been carried out by human employees.",N/A,"Shoppers soon might see a lot more robots in Walmart stores -- but not toy robots or even human assistant gadgets that are available for purchase. Walmart's new robots will be taking over repeatable, predictable and manual tasks that up to now have been carried out by human employees.",N/A,N/A,N/A,N/A,https://schema.org,"[{'@type': 'WebPage', '@id': 'https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html', 'url': 'https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html', 'name': 'Artificial Intelligence Is Reshaping the Workforce', 'isPartOf': {'@id': 'https://www.technewsworld.com/#website'}, 'primaryImageOfPage': {'@id': 'https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html#primaryimage'}, 'image': {'@id': 'https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html#primaryimage'}, 'thumbnailUrl': 'https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/xl-2018-ai-business-1.jpg', 'datePublished': '2019-05-17T05:00:00+00:00', 'dateModified': '2023-10-13T15:36:10+00:00', 'description': ""Shoppers soon might see a lot more robots in Walmart stores -- but not toy robots or even human assistant gadgets that are available for purchase. Walmart's new robots will be taking over repeatable, predictable and manual tasks that up to now have been carried out by human employees."", 'breadcrumb': {'@id': 'https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html#breadcrumb'}, 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html']}]}, {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html#primaryimage', 'url': 'https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/xl-2018-ai-business-1.jpg', 'contentUrl': 'https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/xl-2018-ai-business-1.jpg', 'width': 620, 'height': 360, 'caption': '2018-ai-business-1.jpg'}, {'@type': 'BreadcrumbList', '@id': 'https://www.technewsworld.com/story/how-artificial-intelligence-is-reshaping-the-workforce-86023.html#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'TechNewsWorld', 'item': 'https://www.technewsworld.com/'}, {'@type': 'ListItem', 'position': 2, 'name': 'How Artificial Intelligence Is Reshaping the Workforce'}]}, {'@type': 'WebSite', '@id': 'https://www.technewsworld.com/#website', 'url': 'https://www.technewsworld.com/', 'name': 'TechNewsWorld', 'description': 'All Tech - All The Time', 'publisher': {'@id': 'https://www.technewsworld.com/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://www.technewsworld.com/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'en-US'}, {'@type': 'Organization', '@id': 'https://www.technewsworld.com/#organization', 'name': 'TechNewsWorld', 'url': 'https://www.technewsworld.com/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.technewsworld.com/#/schema/logo/image/', 'url': '', 'contentUrl': '', 'caption': 'TechNewsWorld'}, 'image': {'@id': 'https://www.technewsworld.com/#/schema/logo/image/'}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
