Unnamed: 0,URL Link,Date,Source,Source Link,Title,Description,Text to Process,Preprocessed Text,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LnRlY2hmdW5uZWwuY29tL2luZm9ybWF0aW9uLXRlY2hub2xvZ3kvZ2VuZXJhdGl2ZS1haS_SAQA?oc=5,2022-12-22,TechFunnel,https://www.techfunnel.com,Decoding the Magic of Generative AI and How it Works,"Generative AI (Gen-AI) is a form of AI that generates new material, such as literature, graphics, & music. Read to know more!","Decoding the Magic of Generative AI and How it Works Generative AI (Gen-AI) is a form of AI that generates new material, such as literature, graphics, & music. Read to know more!",decoding magic generative ai work generative ai genai form ai generates new material literature graphic music read know,0.21212121212121213,positive
1,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMTIvMjEvdGVjaG5vbG9neS9wZXJzb25hbHRlY2gvaG93LXRvLXVzZS1jaGF0Z3B0LWV0aGljYWxseS5odG1s0gEA?oc=5,2022-12-23,The New York Times,https://www.nytimes.com,How to Use ChatGPT and Still Be a Good Person (Published 2022),"It’s a turning point for artificial intelligence, and we need to take advantage of these tools without causing harm to ourselves or others.","How to Use ChatGPT and Still Be a Good Person (Published 2022) It’s a turning point for artificial intelligence, and we need to take advantage of these tools without causing harm to ourselves or others.",use chatgpt still good person published turning point artificial intelligence need take advantage tool without causing harm others,0.04999999999999999,positive
2,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy50aGVoaW5kdS5jb20vc2NpLXRlY2gvdGVjaG5vbG9neS9haS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1mdXR1cmUtb2Ytd29yay1hZmZlY3Qtam9icy13b3JrZm9yY2UvYXJ0aWNsZTY2Mjg3NzE0LmVjZdIBhQFodHRwczovL3d3dy50aGVoaW5kdS5jb20vc2NpLXRlY2gvdGVjaG5vbG9neS9haS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1mdXR1cmUtb2Ytd29yay1hZmZlY3Qtam9icy13b3JrZm9yY2UvYXJ0aWNsZTY2Mjg3NzE0LmVjZS9hbXAv?oc=5,2022-12-23,The Hindu,https://www.thehindu.com,AI and the future of work: will Artificial Intelligence affect the workforce?,One of the biggest questions this year: how long will we have our jobs? Here’s looking at how generative AI will transform knowledge work in the next decade,AI and the future of work: will Artificial Intelligence affect the workforce? One of the biggest questions this year: how long will we have our jobs? Here’s looking at how generative AI will transform knowledge work in the next decade,ai future work artificial intelligence affect workforce one biggest question year long job here looking generative ai transform knowledge work next decade,-0.1625,negative
3,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmNocmlzdGlhbml0eXRvZGF5LmNvbS9jdC8yMDIyL2RlY2VtYmVyLXdlYi1vbmx5L2FpLWNoYXRncHQtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtZWR1Y2F0aW9uLXVuaXZlcnNpdHkuaHRtbNIBAA?oc=5,2022-12-23,ChristianityToday.com,https://www.christianitytoday.com,Why Educators Shouldn’t Be Worried About AI,AI Apps like ChatGPT are a wake-up call to redefine the holistic nature of education.,Why Educators Shouldn’t Be Worried About AI AI Apps like ChatGPT are a wake-up call to redefine the holistic nature of education.,educator shouldnt worried ai ai apps like chatgpt wakeup call redefine holistic nature education,0.0,neutral
4,https://news.google.com/rss/articles/CBMiyAFodHRwczovL3d3dy56YXd5YS5jb20vZW4vcHJlc3MtcmVsZWFzZS9ldmVudHMtYW5kLWNvbmZlcmVuY2VzL2R1YmFpLWhvc3RzLWEtcmVnaW9uYWwtY29udmVuaW5nLW9uLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFuZC1oZWFsdGhjYXJlLWluLXBhcnRuZXJzaGlwLXdpdGgtdWFlLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLW9mZmljZS1pcnBhdnpsNtIBzgFodHRwczovL3d3dy56YXd5YS5jb20vZW4vcHJlc3MtcmVsZWFzZS9ldmVudHMtYW5kLWNvbmZlcmVuY2VzL2R1YmFpLWhvc3RzLWEtcmVnaW9uYWwtY29udmVuaW5nLW9uLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFuZC1oZWFsdGhjYXJlLWluLXBhcnRuZXJzaGlwLXdpdGgtdWFlLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLW9mZmljZS1pcnBhdnpsNj9hbXA9MQ?oc=5,2022-12-23,ZAWYA,https://www.zawya.com,Dubai hosts a regional convening on Artificial Intelligence and healthcare in partnership with UAE Artificial Intelligence Office,"Held at the <a href=""https://jameelartscentre.org/"">Jam  in Dubai, the conference was attended by H.E. Omar Sultan Al Olama, UAE Minister for Artificial Intelligence, Digital Economy and Remote Work Applications","Dubai hosts a regional convening on Artificial Intelligence and healthcare in partnership with UAE Artificial Intelligence Office Held at the <a href=""https://jameelartscentre.org/"">Jamin Dubai, the conference was attended by H.E. Omar Sultan Al Olama, UAE Minister for Artificial Intelligence, Digital Economy and Remote Work Applications",dubai host regional convening artificial intelligence healthcare partnership uae artificial intelligence office held href dubai conference attended omar sultan al olama uae minister artificial intelligence digital economy remote work application,-0.38,negative
5,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnNtaC5jb20uYXUvY3VsdHVyZS9hcnQtYW5kLWRlc2lnbi93aGF0LWRvZXMtdGhlLXJpc2Utb2YtYWktbWVhbi1mb3ItdGhlLWZ1dHVyZS1vZi1hcnQtMjAyMjEyMjEtcDVjODFjLmh0bWzSAXZodHRwczovL2FtcC5zbWguY29tLmF1L2N1bHR1cmUvYXJ0LWFuZC1kZXNpZ24vd2hhdC1kb2VzLXRoZS1yaXNlLW9mLWFpLW1lYW4tZm9yLXRoZS1mdXR1cmUtb2YtYXJ0LTIwMjIxMjIxLXA1YzgxYy5odG1s?oc=5,2022-12-23,Sydney Morning Herald,https://www.smh.com.au,What does the rise of AI mean for the future of art?,There was outcry from artists when they learnt that their work had been used to train an AI art-generating app. But what bigger questions does this raise?,What does the rise of AI mean for the future of art? There was outcry from artists when they learnt that their work had been used to train an AI art-generating app. But what bigger questions does this raise?,rise ai mean future art outcry artist learnt work used train ai artgenerating app bigger question raise,-0.10416666666666667,negative
6,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmNubi5jb20vdmlkZW9zL2J1c2luZXNzLzIwMjIvMTIvMjIvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtY2hhdGdwdC1mb3JlbWFuLWRudC10aGUtbGVhZC1jb250ZC12cHguY25u0gEA?oc=5,2022-12-22,CNN,https://www.cnn.com,Artificial Intelligence can write as well as humans. See how it works,"An advanced artificial intelligence innovation, ChatGPT, is turning out ""stunning"" human-level writing, with the ability to write Jerry Seinfeld-style sonnets, compose essays, solve math problems and more. CNN's Tom Foreman reports. ","Artificial Intelligence can write as well as humans. See how it works An advanced artificial intelligence innovation, ChatGPT, is turning out ""stunning"" human-level writing, with the ability to write Jerry Seinfeld-style sonnets, compose essays, solve math problems and more. CNN's Tom Foreman reports. ",artificial intelligence write well human see work advanced artificial intelligence innovation chatgpt turning stunning humanlevel writing ability write jerry seinfeldstyle sonnet compose essay solve math problem cnn tom foreman report,-0.059999999999999984,negative
7,https://news.google.com/rss/articles/CBMijwFodHRwczovL2VuZ2xpc2guYWxhcmFiaXlhLm5ldC9saWZlLXN0eWxlL2hlYWx0aHktbGl2aW5nLzIwMjIvMTIvMjIvTUlULUphbWVlbC1DbGluaWMtaG9zdHMtbWVldC1vbi1BSS1hbmQtaGVhbHRoY2FyZS10by1yb2xsLW91dC1jbGluaWNhbC10b29sc9IBkwFodHRwczovL2VuZ2xpc2guYWxhcmFiaXlhLm5ldC9hbXAvbGlmZS1zdHlsZS9oZWFsdGh5LWxpdmluZy8yMDIyLzEyLzIyL01JVC1KYW1lZWwtQ2xpbmljLWhvc3RzLW1lZXQtb24tQUktYW5kLWhlYWx0aGNhcmUtdG8tcm9sbC1vdXQtY2xpbmljYWwtdG9vbHM?oc=5,2022-12-22,Al Arabiya English,https://english.alarabiya.net,"MIT Jameel Clinic hosts meet on AI and healthcare, to roll out clinical tools","The Jameel Clinic, the epicenter of artificial intelligence (AI) in healthcare at the Massachusetts Institute of Technology (MIT), in partnership with the ","MIT Jameel Clinic hosts meet on AI and healthcare, to roll out clinical tools The Jameel Clinic, the epicenter of artificial intelligence (AI) in healthcare at the Massachusetts Institute of Technology (MIT), in partnership with the ",mit jameel clinic host meet ai healthcare roll clinical tool jameel clinic epicenter artificial intelligence ai healthcare massachusetts institute technology mit partnership,-0.6,negative
8,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3Lm5kdHYuY29tL2ZlYXR1cmUvYXJ0aXN0LXVzZXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtdG8tcmVjcmVhdGUtZm9vdGJhbGwtc3RhcnMtYXMtdG9kZGxlcnMtc2VlLXBpY3MtMzYzOTkyNNIBfmh0dHBzOi8vd3d3Lm5kdHYuY29tL2ZlYXR1cmUvYXJ0aXN0LXVzZXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtdG8tcmVjcmVhdGUtZm9vdGJhbGwtc3RhcnMtYXMtdG9kZGxlcnMtc2VlLXBpY3MtMzYzOTkyNC9hbXAvMQ?oc=5,2022-12-26,NDTV,https://www.ndtv.com,Artist Uses Artificial Intelligence To Recreate Football Stars As Toddlers. See Pics,"The artist, identified as Paul Parsons, reimagined ten popular footballers as children and recreated them into toddlers.","Artist Uses Artificial Intelligence To Recreate Football Stars As Toddlers. See Pics The artist, identified as Paul Parsons, reimagined ten popular footballers as children and recreated them into toddlers.",artist us artificial intelligence recreate football star toddler see pic artist identified paul parson reimagined ten popular footballer child recreated toddler,0.0,neutral
9,https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5hbmFseXRpY3NpbnNpZ2h0Lm5ldC9hcnRpZmljaWFsLWludGVsbGlnZW5jZS90b3AtMTAtcmVhc29ucy13aHktaW5kaWEtY291bGQtZW1lcmdlLWFzLXRoZS1nbG9iYWwtbGVhZGVyLWluLWFpLWluLTIwMjPSAYsBaHR0cHM6Ly93d3cuYW5hbHl0aWNzaW5zaWdodC5uZXQvYW1wL3N0b3J5L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL3RvcC0xMC1yZWFzb25zLXdoeS1pbmRpYS1jb3VsZC1lbWVyZ2UtYXMtdGhlLWdsb2JhbC1sZWFkZXItaW4tYWktaW4tMjAyMw?oc=5,2022-12-22,Analytics Insight,https://www.analyticsinsight.net,Top 10 Reasons Why India Could Emerge as the Global Leader in AI in 2023,"Amidst the fast-paced advancements in technology, artificial intelligence has been one of the most revolutionary creations in the history of tech. AI has the po","Top 10 Reasons Why India Could Emerge as the Global Leader in AI in 2023 Amidst the fast-paced advancements in technology, artificial intelligence has been one of the most revolutionary creations in the history of tech. AI has the po",top reason india could emerge global leader ai amidst fastpaced advancement technology artificial intelligence one revolutionary creation history tech ai po,-0.033333333333333326,negative
10,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vdW5jdGFkLm9yZy9uZXdzL2Jsb2ctaG93LWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWNoYXRib3RzLWNvdWxkLWFmZmVjdC1qb2Jz0gEA?oc=5,2022-12-14,UNCTAD,https://unctad.org,How artificial intelligence chatbots could affect jobs,"The recent launch of ChatGPT, a chatbot created by Open AI for public use, has underscored the growing reach of digital technologies like artificial intelligence (AI) in working life.As with most technological revolutions that affect the workplace, chatbots can potentially create winners and losers and will affect both blue-collar and white-collar workers.","How artificial intelligence chatbots could affect jobs The recent launch of ChatGPT, a chatbot created by Open AI for public use, has underscored the growing reach of digital technologies like artificial intelligence (AI) in working life.As with most technological revolutions that affect the workplace, chatbots can potentially create winners and losers and will affect both blue-collar and white-collar workers.",artificial intelligence chatbots could affect job recent launch chatgpt chatbot created open ai public use underscored growing reach digital technology like artificial intelligence ai working lifeas technological revolution affect workplace chatbots potentially create winner loser affect bluecollar whitecollar worker,-0.17142857142857143,negative
11,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMva2FybG1vb3JlLzIwMjIvMTIvMTQvbGV2ZXJhZ2UtZ2VuZXJhdGl2ZS1haS13b3JrcGxhY2UtdG9vbHMtd2l0aC1zZW1hbnRpYy1yZXNlYXJjaC_SAQA?oc=5,2022-12-14,Forbes,https://www.forbes.com,Beyond ChatGPT: The Future Of AI At Work,Semantic research could answer to the shortcomings of using generative model in the workplace alone by ensuring that answers are based on research and not inference. ,Beyond ChatGPT: The Future Of AI At Work Semantic research could answer to the shortcomings of using generative model in the workplace alone by ensuring that answers are based on research and not inference. ,beyond chatgpt future ai work semantic research could answer shortcoming using generative model workplace alone ensuring answer based research inference,0.0,neutral
